ID в ИС ГТИБД,Название,Название (англ.),Тип,Адрес (ручной),Телефоны,Сайт,Электронная почта,Доступно для людей с ограниченными возможностями,ОГРН,ИНН,Координаты
18989,"Театр ""Lusores""","Theatre ""Lusores""",Негосударственное учреждение,"«Особняк.Театр» 197022,г Санкт-Петербург, Каменноостровский проспект, 55; «Катакомбы» Петрикирхе 191186,г Санкт-Петербург, Невский проспект, 22-24; «Дом актёра» (Союз театральных деятелей) 191025,г Санкт-Петербург, Невский пр., 86",+7 (931) 005-18-40,Https://vk.com/lusorestheatre,Https://vk.com/carmen194,Нет,None,None,"59.971677,30.306804"
18991,"Театр ""Аквариум"" (АНОК)","Theatre ""Aquarium""",Негосударственное учреждение,"195267, Санкт-Петербург, пр. Просвещения, д. 87, к. 1",8 (812) 590-42-59,Http://theater-aquarium.ru/ https://vk.com/club2519324,Teatrakvarium@mail.ru,Нет,1147800003372,7804291190,"60.036217,30.414043"
18993,"Театральная компания ""Открытое пространство""","Theatre company ""Open space""",Негосударственное учреждение,"У театра нет своего помещения, поэтому спектакли проходят на сценахтеатра ""За Черной речкой"" (Богатырский пр. 4), площадки ""Скороход"" (Московский пр. 107/5),БДТ им.Товстоногова, малая сцена (наб.реки Фонтанки 35) и музея Достоевского (Кузнечный пер. 5/2),",+7-911-233-8831+7-921-910-5425 +7-812-910-5425,Http://teatrop.ru/Afisha/ http://vk.com/club5827066,Администрация и билеты - admin@teatrop.ru,Нет,1067800034114,7842012909,"59.943721,30.381653"
19010,"Театр ""ЛДМ""","Theatre ""LDM""",Негосударственное учреждение,"197376, Санкт-Петербург, ул. Профессора Попова, д. 47",+7 (911) 726 75 05,Https://ldm.theater/ https://vk.com/ldm.newstage,Info@ldm-theater.com,Нет,1027806866592,7813173267,"59.971448,30.287602"
19011,"Театр ""Мюзик-Холл""","Theatre ""Music-Hall""",Государственное городское учреждение,"197198, Санкт-Петербург, парк Александровский, д. 4",8 (812) 232-92-01,Http://www.musichallspb.ru,"Info@musichallspb.ru, kontakt@musichallspb.ru",Да,1027806869771,7813046420,"59.955296,30.310665"
19013,"Театр юного зрителя ""Синтез"" (АНО)","New Spectator Theatre ""Synthez""",Некоммерческое учреждение,"197022, Санкт-Петербург, Каменноостровский пр., 64, корп. 3",8 (812) 640-88-89 +7 (905)286-68-77,Https://vk.com/tnzsintez,Teatrsintez@mail.ru,Нет,1027801579816,7802101038,"59.973966,30.30218"
19014,Санкт-Петербургская государственная консервтория имени Н.А. Римского-Корсакова,Rimskiy-Korsakov State Conservatory,Государственное федеральное учреждение,"190000, Санкт-Петербург, Театральная пл., д. 3, лит. А","8 (812) 407-95-23, +7 (812) 644-99-88 - единый номер консерватории",Www.conservatory.ru,Kugaevsky@conservatory.ru,Нет,1027810336762,7812036476,"59.925978,30.298146"
19015,"Театр ""Странствующие куклы господина Пэжо"" (АНО)","""Mr. Pejo's Wandering Dolls Theatre Company""",Некоммерческое учреждение,Уличный театр,"+7 (921) 942-07-56, 8-901-373-95-34, 8-951-677-53-39",Www.pejo.ru,Info.pejo@gmail.com,Нет,1127800002109,7819290070,"59.882202,29.889927"
19016,"Театр-студия ""Karlsson Haus"" (АНО)","Theatre studio ""Karlsson Haus""",Некоммерческое учреждение,"Наб. Реки Фонтанки, д. 50; ул. Ломоносова, д. 14; ул. Фурштатская, 30","8 (812) 309-56-01, 8 (812) 954-81-23",Http://www.karlssonhaus.ru; https://vk.com/club2374337,Karlsson.bilet@gmail.com,Нет,1373511420708,1141886035,"59.930593,30.342729"
19017,"Театр-студия ""Горошины""","Theatre studio ""Peas""",Некоммерческое учреждение,"191023 , Санкт-Петербург, Садовая ул., д. 27 (Театр «Приют Комедианта»)","8 (812) 960-24-20, 8 (812) 960-24-21",Http://goroshini.ru,Teatrgoroshin@gmail.com,Нет,1197800001310,7814756670,"59.929361,30.323215"
19018,"Театр-студия ""Не-кабуки"" (АНО)","Theatre studio ""Ne-kabuki""",Негосударственное учреждение,"Театр ""Не-Кабуки"" готов приехать к вам со спектаклями для взрослых и детей!","957-01-58, 8-921-349-51-02",Https://vk.com/nekabuki,Ne-kabuki@yandex.ru,Нет,1107800000824,7801269510,"59.941705,30.280576"
19019,Театр-студия Санкт-Петербургского Государственного Университета,St. Petersburg State University theatre studio,Государственное федеральное учреждение,"190121, Санкт-Петербург, наб. Адмиралтейского канала, д. 27",8 (812) 312-51-97,Http://vk.com/teatrspbgu,Theatrespbu@gmail.com,Нет,None,None,"59.930068,30.286982"
19020,"Театр ""ТриЧетыре""","Theatre ""TriChetire"" (""ThreeFour"")",Негосударственное учреждение,"Санкт-Петербург, проспект Непокорённых, дом 11",8 (812) 980-20-01,Http://teatr34.ru/,Office@teatr34.ru,Нет,None,None,"60.000604,30.35636"
19021,"Театр-фестиваль ""Балтийский Дом""","Theatre-festival ""Baltic House""",Государственное городское учреждение,"197198, Санкт-Петербург, парк Александровский, д. 4",Касса: 8 (812) 232-35-39,Http://www.baltic-house.ru,"Fc@baltichouse.spb.ru, bilet-baltichouse@mail.ru",Нет,1037828004312,7813046396,"59.955537,30.312474"
19022,"Театр-фестиваль ""Балтийский Дом"". Экспериментальная Сцена под руководством Анатолия Праудина","Theatre festival ""Baltic House"". Experimental scene led Anatoliy Praudin",Государственное городское учреждение,"197198, Санкт-Петербург, парк Александровский, д. 4",8 (812) 232-35-39,Https://vk.com/praudinexperimentalstage,Ndiachenko@mail.ru,Нет,1037828004312,7813046396,"59.955537,30.312474"
19023,"Театр ""Цехъ свободных художников"" (АНО)","Theatre ""Free artists's Guild""",Некоммерческое учреждение,"197110, Санкт-Петербург, Чкаловский пр., д. 12/20 В",+7 981-743-78-47,Http://cehtheatre.com,Mail@cehtheatre.com,Нет,1147800005352,7841292139,"59.959892,30.288542"
19024,Театр Юношеского Творчества,Youth Creativity Theatre,Государственное учреждение,"191011, Санкт-Петербург, Невский пр., д. 39, лит. Д ((наб. Реки Фонтанки, 35)",Телефон кассы: 407-43-62 Телефон администрации: 407-43-63,Http://baseold.anichkov.ru/departments/theatre/theatre http://www.webtut.ru/forum/index.php,Tut_spb@mail.ru,Нет,1039644995473,1329261198,"59.93292,30.340039"
19025,ФМД-Театр (Театр литературно-мемориального музея Ф.М. Достаевского),FMD-Theatre (Theatre of the Dostoevsky Literery and Memorial Museum),Государственное городское учреждение,"191002, Санкт-Петербург, Кузнечный пер., д. 5/2",+7 921-977-43-00,Http://www.md.spb.ru,Dostoevsky.museum@gmail.com,Нет,1027809232362,7825705438,"59.92712,30.350507"
19026,"Фольклорно-этнографическая студия ""Пан-Театр"" (АНО)","Folklore and Ethnographic Studio ""Pan-Theatre""",Негосударственное учреждение,"1911186, Санкт-Петербург, Инженерная ул., 4/1, пом. 18 (Российский Этнографический музей)",8 (812) 998-44-95,-,Panteatre@gmail.ru,Нет,1037843085499,7825127561,"59.937785,30.334712"
19027,"Фольклорный театр ""Этно""","Folklore Theatre ""Ethno""",Негосударственное учреждение,"191028, Санкт-Петербург, Моховая ул., д. 3",+7 921-586-25-77,Www.etno-spb.ru https://vk.com/spb_ethno,Director@etno-spb.ru,Нет,None,None,"59.945578,30.34459"
19028,Театро Ди Капуа,Teatro Di Capua,Негосударственное учреждение,"191186,г Санкт-Петербург, Невский 22-24",Администратор: Мария Вережникова 8-981-983-27-41,Http://www.teatrodicapua.com,Tdcapua@gmail.com,Нет,None,None,"59.935935,30.324097"
19589,Чаплин Холл,Chaplin Hall,Негосударственное учреждение,"194044, г Санкт-Петербург, Пироговская наб, д 5/2",+7 (812) 605‒03‒05 +7 (812) 605‒03‒01,Www.chaplin-hall.com,"Banket@chaplin-hall.com, pr@chaplin-hall.com",Нет,None,None,"59.956787,30.341952"
19590,"Интерактивный музей-театр ""Сказкин дом""","Interactive museum-theatre ""House o Fairy Tale""",Негосударственное учреждение,"197198, г Санкт-Петербург, Александровский парк, 1а",+7 (812) 612‒75‒26,Www.skazkindom.ru,Info@skazkindom.ru,Нет,1097847159299,7813445577,"59.955112,30.320208"
19591,"Шоу-пространство ""Ленинград Центр""","Shaw space ""Leningrad Centre""",Негосударственное учреждение,"Потёмкинская, 4 1-4 этаж",+7 (812) 242‒99‒99,Www.leningradcenter.ru,Reservation@leningradcenter.ru,Нет,784201001,7801541244,"59.945841,30.368257"
19592,"Камерный театр ""Театральная долина""",Theatre Valley,Негосударственное учреждение,"199178, г Санкт-Петербург, линия 13-я В.О., д 70",+7‒921‒967‒27‒65 +7‒921‒978‒88‒69 +7‒921‒586‒21‒56,Https://vk.com/teatr_dolina,Teatrdol@yandex.ru,Нет,None,None,"59.945572,30.265017"
19593,"Камерный театр ""Легенда""","Theatre ""Legend""",Негосударственное учреждение,"194044, г Санкт-Петербург, ул Выборгская, д 4 к 2","+7‒921‒305‒21‒39, +7 (911) 239-04-17",Https://teatrlegenda.ru/,Info@teatrlegenda.ru,Нет,None,None,"59.965327,30.345039"
