Район,"Название школы или иного учреждения, в котором может работать секция/кружок",Адрес учреждения,Виды спорта/направления деятельности секции,Минимальный возраст,Максимальный возраст,Пол,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Дополнительная информация
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга (футбол),"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 31",футбол,7 лет,18 лет,мужской,Рыбачева Лариса Авенберковна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,
Кронштадтский,Государственное бюджетное учреждение спортивная школа Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, город Кронштадт, Тулонская аллея, дом 11",футбол,7 лет,18 лет,мужской,Рыбачева Лариса Авербековна,8(812)4390129,8(812)4390129,krondusch@yandex.ru,Муниципальное образование г. Кронштадт,7818010763,1027808867371,Стадион. Занятия проходят с апреля по октябрь
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждений «Кронштадтский оздоровительно-спортивный центр». Стадион (мини-футбол),"Санкт-Петербург, город Кронштадт, Тулонская аллея, дом 11",мини-футбол,15 лет,80 лет и старше,мужской,Шлюс Александр Викторович,8(812)3114382,,popov.kron.@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Заведущий стадионом: Попов Дмитрий Александрович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждений «Кронштадтский оздоровительно-спортивный центр». Стадион (полиатлон),"Санкт-Петербург, город Кронштадт, Тулонская аллея, дом 11",полиатлон,7 лет,80 лет и старше,мужской,Жукова Александра Александровна,8(812)3114382,8(812)3114382,popov.kron.@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Заведущий стадионом: Попов Дмитрий Александрович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Подростково-молодежный клуб «Белая ладья» (ОФП с элементами бокса),"Санкт-Петербург, город Кронштадт, улица Зосимова, дом 44",ОФП с элементами бокса,7 лет,80 лет,мужской/женский,Шлюс Александр Викторович,8(812)4390554,8(812)4390554,koltklub@gmail.com,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Жуков Владимир Юрьевич
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Подростково-молодежный клуб «Белая ладья» (Фитнес),"Санкт-Петербург, город Кронштадт, улица Зосимова, дом 44",Фитнес (тренажерный зал),15 лет,80 лет,мужской/женский,Погорелова Наталья Владимировна,8(812)4390554,8(812)4390554,koltklub@gmail.com,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Жуков Владимир Юрьевич
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Военно-спортивный клуб «Русич» имени Ю.В. Антошко,"Санкт-Петербург, город Кронштадт, Посадская улица, дом 4",боевое самбо,7 лет,30 лет,мужской/женский,Шлюс Александр Викторович,8(812)4350236,8(812)4350236,vsc-rusich@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Шлапа Андрей Семенович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Военно-спортивный клуб «Русич» имени Юрия Антошко,"Санкт-Петербург, город Кронштадт, Посадская улица, дом 4",бокс,7 лет,30 лет,мужской/женский,Шлюс Александр Викторович,8(812)4350236,8(812)4350236,vsc-rusich@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководтель клуба: Мохнаткин Александр Николаевич
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Подростково-молодежный клуб «Эйс» имени Риты Погосовой,"Санкт-Петербург, город Кронштадт, улица Гидростроителей, дом 7",настольный теннис,7 лет,80 лет,мужской/женский,Шлюс Александр Викторович,8(812)4390045,8(812)4390045,tennis-klub@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Миловатский Владимир Степанович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Подростково-молодежный клуб «Эйс» имени Риты Погосовой (фитнес-аэробика),"Санкт-Петербург, город Кронштадт, улица Гидростроителей, дом 7",фитнес-аэробика,7 лет,80 лет и старше,мужской/женский,Погорелова тнаталья Владимировна,8(812)4390045,8(812)4390045,tennis-klub@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Миловатский Владимир Степанович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Подростково-молодежный клуб «Эйс» имени Риты Погосовой (Фитнес),"Санкт-Петербург, город Кронштадт, улица Гидростроителей, дом 7",Фитнес (тренажерный зал),15 лет,80 лет и старше,мужской/женский,Шлюс Александр Викторович,8(812)4390045,8(812)4390045,tennis-klub@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Миловатский Владимир Степанович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Опорный центр спортивно-массовой работы с молодежью допризывного возраста,"Санкт-Петербург, город Кронштадт, Цитадельское шоссе, дом 2","военно-спортивное многоборье, Зарница, плавание, стрельба",7 лет,30 лет,мужской/женский,Шлюс Александр Викторович,8(812)4175444,8(812)4175444,tirkron@mail.ru,Муниципальное образование г. Кронштадт,7818010410,1027808866403,Руководитель клуба: Евдокимов Игорь Вячеславович
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский оздоровительно-спортивный центр». Отдел спортивно-массовой работы по месту жительства,,спортивно-массовая работа на дворовых площадках,3 года,80 лет и старше,мужской/женский,Шлюс Александр Викторович,8(812)3119446,8(812)3119446,,Муниципальное образование г. Кронштадт,7818010410,1027808866403,
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №418 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, ул. Станюковича, д.4, литера А","бадминтон, волейбол, настольный теннис",7 лет,18 лет,мужской/женский,Воробьев Альберт Владимирович,8(812)4390127,8(812)4390127,school418@yandex.ru,Муниципальное образование г. Кронштадт,7818010883,1027808866580,Школьный спортивный клуб
Кронштадтский,"Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №418 Кронштадтского района Санкт-Петербурга (фитнес-аэробика, футбол)","Санкт-Петербург, г. Кронштадт, ул. Станюковича, д.4, литера А","фитнес-аэробика, футбол",7 лет,18 лет,женский,Воробьев Альберт Владимирович,8(812)4390127,8(812)4390127,school418@yandex.ru,Муниципальное образование г. Кронштадт,7818010883,1027808866580,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №422 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, пр. Ленина, д.6, литера А","баскетбол, волейбол, тхэквондо",7 лет,18 лет,мужской/женский,Богданова Ольга Николаевна,8(812)4175713,8(812)4175713,gou422@mail.ru,Муниципальное образование г. Кронштадт,7818010890,1027808867052,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №422 Кронштадтского района Санкт-Петербурга (легкая атлетика),"Санкт-Петербург, г. Кронштадт, пр. Ленина, д.6, литера А",легкая атлетика,7 лет,18 лет,женский,Богданова Ольга Николаевна,8(812)4175713,8(812)4175713,gou422@mail.ru,Муниципальное образование г. Кронштадт,7818010890,1027808867052,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №422 Кронштадтского района Санкт-Петербурга (футбол),"Санкт-Петербург, г. Кронштадт, пр. Ленина, д.6, литера А",футбол,7 лет,18 лет,мужской,Богданова Ольга Николаевна,8(812)4175713,8(812)4175713,gou422@mail.ru,Муниципальное образование г. Кронштадт,7818010890,1027808867052,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №423 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, пл. Рошаля, д.4/11, литера А","волейбол, спортивное ориентирование, спортивный туризм, футбол",7 лет,18 лет,мужской/женский,Рыкина Светлана Александровна,8(812)4176160,8(812)4176162,gou423@yandex.ru,Муниципальное образование г. Кронштадт,7818010900,1027808867041,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №423 Кронштадтского района Санкт-Петербурга (художественная гимнастика),"Санкт-Петербург, г. Кронштадт, пл. Рошаля, д.4/11, литера А",художественная гимнастика,7 лет,18 лет,женский,Рыкина Светлана Александровна,8(812)4176160,8(812)4176162,gou423@yandex.ru,Муниципальное образование г. Кронштадт,7818010900,1027808867041,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №423 Кронштадтского района Санкт-Петербурга (военно-прикладные виды спорта),"Санкт-Петербург, г. Кронштадт, пл. Рошаля, д.4/11, литера А",военно-прикладные виды спорта,7 лет,18 лет,мужской,Рыкина Светлана Александровна,8(812)4176160,8(812)4176162,gou423@yandex.ru,Муниципальное образование г. Кронштадт,7818010900,1027808867041,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени П.Л. Капицы Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, Андреевская ул., 7, литера А","баскетбол, волейбол",7 лет,18 лет,мужской/женский,Асанова Ирина Николаевна,8(812)3115128,8(812)3115128,direkt425@yandex.ru,Муниципальное образование г. Кронштадт,781801925,1027808867350,Отделение дополнительного образования
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №425 имени П.Л. Капицы Кронштадтского района Санкт-Петербурга (футбол),"Санкт-Петербург, г. Кронштадт, Цитадельское шоссе, д.2, литера А",футбол,7 лет,18 лет,мужской,Асанова Ирина Николаевна,8(812)3115128,8(812)3115128,direkt425@yandex.ru,Муниципальное образование г. Кронштадт,781801925,1027808867350,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №427 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, ул. Лебедева, д.5а, литера А","баскетбол, бокс, волейбол",7 лет,18 лет,мужской/женский,Емельянова Анна Михайловна,8(812)4175730,8(812)4175732,s427@yandex.ru,Муниципальное образование г. Кронштадт,7818010932,1027808867118,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №427 Кронштадтского района Санкт-Петербурга (легкая атлетика),"Санкт-Петербург, г. Кронштадт, ул. Лебедева, д.5а, литера А",легкая атлетика,7 лет,18 лет,женский,Емельянова Анна Михайловна,8(812)4175730,8(812)4175732,s427@yandex.ru,Муниципальное образование г. Кронштадт,7818010932,1027808867118,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №427 Кронштадтского района Санкт-Петербурга (футбол),"Санкт-Петербург, г. Кронштадт, ул. Лебедева, д.5а, литера А",футбол,7 лет,18 лет,мужской,Емельянова Анна Михайловна,8(812)4175730,8(812)4175732,s427@yandex.ru,Муниципальное образование г. Кронштадт,7818010932,1027808867118,Школьный спортивный клуб
Кронштадтский,Государственное бюджетное общеобразовательное учреждение начальная школа-детский сад №662 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, коммунистическая ул., д.16, литера А","фитнес-аэробика, шашки",7 лет,12 лет,мужской/женский,Новицкая Любовь Ивановна,8(818)4350896,8(812)4350897,kron662@yandex.ru,Муниципальное образование г. Кронштадт,7818010812,1027808867283,Отделение дополнительного образования
Кронштадтский,Государственное бюджетное общеобразовательное учреждение школа №676 Кронштадтского района Санкт-Петербурга,"Санкт-Петербург, г. Кронштадт, Андреевская ул, д.3, литера А",настольный теннис,7 лет,18 лет,мужской/женский,Васюсина Ольга Викторовна,8(812)3116888,8(812)3116888,school_676@mail.ru,Муниципальное образование г. Кронштадт,7818010971,1027808868614,"Отделение дополнительного образования. Занятия проводятся с лицами с ограниченными возможностями здоровья, нарушения интеллекта"
Кронштадтский,Государственное бюджетное учреждение дополнительного образования детский морской центр Кронштадтского района Санкт-Петербурга «Юный моряк» (ГБУ ДОД ДМЦ «Юный моряк») (плавание),"Санкт-Петербург, г. Кронштадт,Советская ул., д.39, литера А",плавание,12 лет,16 лет,мужской/женский,Романчук Елена Леонидовна,8(812)3110495,8(812)3110495,kronkum82@mail.ru,Муниципальное образование г. Кронштадт,7818010957,1027808868450,
Кронштадтский,Государственное бюджетное учреждение дополнительного образования детский морской центр Кронштадтского района Санкт-Петербурга «Юный моряк» (ГБУ ДОД ДМЦ «Юный моряк») (художественная гимнастика),"Санкт-Петербург, г. Кронштадт,Советская ул., д.39, литера А",художественная гимнастика,9 лет,14 лет,женский,Романчук Елена Леонидовна,8(812)3110495,8(812)3110495,kronkum82@mail.ru,Муниципальное образование г. Кронштадт,7818010957,1027808868450,
Кронштадтский,Государственное бюджетное учреждение дополнительного образования Дом детского творчества Кронштадтского района Санкт-Петербурга «Град чудес»,"Санкт-Петербург, г. Кронштадт, пр. Ленина, д.51, литера А",основы туризма,10 лет,16 лет,мужской/женский,Черникова Инна Юрьевна,8(812)4350745,8(812)4350745,grad_tchudes@mail.ru,Муниципальное образование г. Кронштадт,7818010770,1027808866381,
Кронштадтский,"Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский дворец молодежи» (бодибилдинг, восточное боевое единоборство, рукопашный бой)","Санкт-Петербург, г. Кронштадт, Советская ул., д.35","бодибилдинг, восточное боевое единоборство, рукопашный бой",15 лет,59 лет,мужской/женский,Зыкова Елена Владимировна,8(812)4352398,8(812)4352398,bastion.35@mail.ru,Муниципальное образование г. Кронштадт,7843311806,1107847313100,Спортивный клуб «Коби-Кай». Руководитель: Иванюк Анатолий Валентинович. Тел.: 8(812)4350103
Кронштадтский,"Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский дворец молодежи» (бокс, джиу-джитсу, каратэ, самбо)","Санкт-Петербург, г. Кронштадт, Советская ул., д.35","бокс, джиу-джитсу, каратэ, самбо",15 лет,59 лет,мужской,Зыкова Елена Владимировна,8(812)4352398,8(812)4352398,bastion.35@mail.ru,Муниципальное образование г. Кронштадт,7843311806,1107847313100,Спортивный клуб «Коби-Кай». Руководитель: Иванюк Анатолий Валентинович. Тел.: 8(812)4350103
Кронштадтский,Санкт-Петербургское государственное бюджетное учреждение «Кронштадтский дворец молодежи» (фитнес-аэробика),"Санкт-Петербург, г. Кронштадт, Советская ул., д.35",фитнес-аэробика,15 лет,59 лет,женский,Зыкова Елена Владимировна,8(812)4352398,8(812)4352398,bastion.35@mail.ru,Муниципальное образование г. Кронштадт,7843311806,1107847313100,Спортивный клуб «Коби-Кай». Руководитель: Иванюк Анатолий Валентинович. Тел.: 8(812)4350103
Красносельский,Государственное бюджетное учреждение спортивная школа Красносельского района Санкт-Петербурга,"г.Санкт-Петербург, улица Тамбасова, дом 17, корпус 1, литера А","Акробатический рок-н-ролл; баскетбол, бокс, волейбол, дзюдо, лыжные гонки, спортивная (вольная) борьба, тхэквондо, ушу, фехтование, футбол",7 лет,18 лет,"муж., жен.",Шустров Игорь Андреевич - исполняющий обязанности директора,730-96-66,730-96-66,dusch.kr@yandex.ru,Константиновское,7807016241,1027804606389,
Калининский,ГБУ СШОР № 1 Калининского района Санкт-Петербурга,"г.Санкт-Петербург, Гражданский проспект, дом 7, литера А","Волейбол, бадминтон, баскетбол, тяжелая атлетика, художественная гимнастика, стрельба из лука, спорт лиц с поражением ОДА (стрельба из лука)",6,Без ограничений,"Женский, мужской",Ефимычев Павел Станиславович,+7(812)246-30-20,+7(812)246-30-20,Shor1kalin@sport.gugov.spb.ru,МО Гражданка,7804071734,1027802497711,Зачисление в учреждение осуществляется на конкурсной основе
Калининский,ГБУ СШОР № 2 Калининского района Санкт-Петербурга,"г.Санкт-Петербург, улица Брянцева, дом 24, литера А","Велоспорт ВМХ, легкая атлетика,лыжные гонки,настольный теннис,самбо,шахматы,кикбоксинг,тайский бокс, универсальный бой,ушу,спорт глухих(настольный теннис),спорт лиц с поражением ОДА(лыжные гонки, настольный теннис),бокс,конькобежный спорт",6,Без ограничений,"Женский, мужской",Антонов Максим Викторович,+7(812)531-37-33,+7(812)531-37-33,Dush2kalin@mail.ru,МО Прометей,7804029411,1027802498932,Зачисление в учреждение осуществляется на конкурсной основе
Калининский,ГБУ СШОР № 3 Калининского района Санкт-Петербурга,"г.Санкт-Петербург, улица Ушинского, дом 10, корпус 2, литера А","Биатлон, плавание, пулевая стрельба, синхронное плавание, современное пятиборье, спортивная гимнастика, тхэквондо, фехтование, спорт глухих-пулевая стрельба, фристайл",6,18 (18 и старше по согласованию с КФКиС,"Женский, мужской",Васильев Дмитрий Владимирович,+7(812)290-07-87,+7(812)290-07-87,Sport@sdushor3spb.ru,МО Прометей,7804447730,1107847356825,Зачисление в учреждение осуществляется на конкурсной основе
Калининский,ГБУ СШОР имени А.С. Рахлина Калининского района Санкт-Петербурга,"г. Санкт-Петербург, Кондратьевский проспект, дом 13 литера А",Дзюдо,7,Без ограничения,"Женский, мужской",Храмова Маргарита Викторовна,+7(812)576-99-32,Отсутствует,Centr-judo@mail.ru,МО Финляндский округ,7804532520,1147847160174,Зачисление в учреждение осуществляется на конкурсной основе
Калининский,"СПб ГБУ «Центр физической культуры, спорта и здоровья Калининского района»","г.Санкт-Петербург, улица Демьяна Бедного, дом 9, литера А","Волейбол, баскетбол, бокс, флорбол, самбо, футбол, универсальный бой, скалолазание, хоккей",7,18,"Женский, мужской",Камаев Дмитрий Леонидович,+7(812)597-72-63,+7(812)597-72-63,Fok-sport@mail.ru,МО Прометей,7804411758,109784074574,Зачисление в учреждение осуществляется на основании заявления
Красногвардейский,ГБОУ ДОД «Центр Физкультура и Здоровье» Красногвардейского района,"195030, Санкт-Петербург, пр. Ударников, д. 39, к. 1","Волейбол, Городошный спорт, Велоспорт, ОФП, Гимнастика, Легкая атлетика, Лыжный спорт, Настольный теннис, Рукопашный бой, Самбо, Спортивное ориентирование, Ушу, Флорбол, Футбол, Хореография, Художественная гимнастика, Шахматы, Фигурное катание, Хоккей",2,Без ограничений,М/ж,Директор – Соминский Алексей Игоревич,386-40-48,"3862058, 3862059",5444646@mail.ru,Ржевка,7806040530,1037816042263,
Красногвардейский,ГБУ СШ Красногвардейского района Санкт-Петербурга,"195030, Санкт-Петербург, Отечественная ул., д. 6","Бокс, Легкая атлетика, Лыжные гонки, Настольный теннис, Адаптивная физическая культура, Биатлон, Фехтование",6,18,М/ж,Директор – Сагиева Екатерина Александровна,"527-83-33, 525-75-66",527-83-33,Dussh@bk.ru,Ржевка,7806105001,1037816019295,
Красногвардейский,ГБУ СШ № 2 Красногвардейского района Санкт-Петербурга,"195426, Санкт-Петербург, Ленская ул., д.1, корп. 2","Вольная борьба, Киокусинкай, Спортивная аэробика, Танцевальный спорт, Футбол, Художественная гимнастика, Плавание",6,18,М/ж,Директор – Кицак Тарас Петрович,521-83-61,521-83-61,Ducsh2_krasnogv@mail.ru,Пороховые,7806303878,1047855073309,
Красногвардейский,ПМК «Адреналин»,"Санкт-Петербург, ул. Белорусская, д. 6, к. 2","Тхэквондо, Йога",7,30,М/ж,Заведующий клубом - Герасенков Денис Игоревич,Тел.: +7-921-799-84-81,498-84-27,Pmcohta@pmcohta.ru,Пороховые,7806026470,1037816004577,
Красногвардейский,ПМК «Альтаир»,"Санкт-Петербург, пр. Металлистов, д. 19/30","ОФП, Цирковая студия, Плавание",7,30,М/ж,Заведующий клубом - Кудрявцева Нина Николаевна,Тел.: 224-28-29,498-84-27,Pmcohta@pmcohta.ru,Большая Охта,7806026470,1037816004577,
Красногвардейский,ПМК «Березка»,"Санкт-Петербург, пр. Шаумяна, д. 31","Шахматы, Шашки, Туризм, Атлетическая подготовка",7,Без ограничений,М/ж,Заведующий клубом- Григолия Элина Камильевна,"Тел.: 444-62-23, 444-90-77",498-84-27,Pmcohta@pmcohta.ru,Малая Охта,7806026470,1037816004577,
Красногвардейский,ПМК «Вега»,"Санкт-Петербург, ул. Коммуны, д. 32, корп. 5",Городошный спорт,7,30,М/ж,Заведующий клубом - Саяпина Марина Сергеевна,Тел.: 520-86-06,498-84-27,Pmcohta@pmcohta.ru,Пороховые,7806026470,1037816004577,
Красногвардейский,ПМК «Метеор»,"Санкт-Петербург, ул. Тухачевского, д. 41","Каратэ, Художественная гимнастика, Настольный теннис, Общая физическая подготовка, Атлетизм, Скалолазание, Дзюдо",7,30,М/ж,Заведующий клубом - Дубасова Наталья Игоревна,"Тел.: 545-23-70, 226-02-88",498-84-27,Pmcohta@pmcohta.ru,Полюстрово,7806026470,1037816004577,
Красногвардейский,ПМК «Диалог»,"Санкт-Петербург, Индустриальный пр., д.7","Ушу, Капоэйра, Гражданская оборона",7,30,М/ж,Заведующий клубом – Герасенков Денис Игоревич,Тел. 574-20-05,498-84-27,Pmcohta@pmcohta.ru,Полюстрово,7806026470,1037816004577,
Красногвардейский,ПМК «Рубин»,"Санкт-Петербург, Новочеркасский пр., д.57, корп. 3","Самбо, Дзюдо, Общая физическая подготовка, Военно-спортивная секция, Модерн- гимнастика, Кикбоксинг, Рукопашный бой",7,Без ограничений,М/ж,Заведующий клубом - Сосновский Антон Вячеславович,Тел.: 444-15-69,498-84-27,Pmcohta@pmcohta.ru,Малая Охта,7806026470,1037816004577,
Красногвардейский,ПМК «Гранит»,"Санкт-Петербург, ул. Гранитная, д. 28/2","Дзюдо, Атлетизм, Паркур",7,Без ограничений,М/ж,Заведующий клубом - Климов Евгений Николаевич,"Тел.:, 444-74-27",498-84-27,Pmcohta@pmcohta.ru,Малая Охта,7806026470,1037816004577,
Красногвардейский,ПМК «Родник»,"Санкт-Петербург, ул. Ленская, д. 8","Атлетизм, Общая физическая подготовка, Тхэквондо, Джиу-джтсу, Кендзюцу",7,30,М/ж,Заведующий клубом – Симкина Вера Юрьевна,Тел.: 574-21-64,498-84-27,Pmcohta@pmcohta.ru,Пороховые,7806026470,1037816004577,
Красногвардейский,"ПМК ""Нева""","Санкт-Петербург, пр. Энергетиков, д. 50","Волейбол, Настольный теннис, Спортивное ориентирование, Футбол",7,30,М/ж,Заведующий клубом – Алекберова Венера Мударисовна,Тел: 225-62-69,498-84-27,Pmcohta@pmcohta.ru,Полюстрово,7806026470,1037816004577,
Красногвардейский,ПМК «Радуга»,"Санкт-Петербург, Большеохтинский пр., д. 19",Шахматы,7,30,М/ж,Заведующий клубом – Турылева Татьяна Николаевна,Тел: 227-16-55,498-84-27,Pmcohta@pmcohta.ru,Большая Охта,7806026470,1037816004577,
Красногвардейский,ПМК «Чайка»,"Санкт-Петербург, Казанская ул., д. 14","Дзюдо, Каратэ, Общая физическая подготовка, Футбол, Ориентирование",7,30,М/ж,Заведующий клубом – Гасникова Надежда Викторовна,Тел.: 444-41-39,498-84-27,Pmcohta@pmcohta.ru,Малая Охта,7806026470,1037816004577,
Красногвардейский,"ПМК ""Острова""","Санкт-Петербург, улица Корнея Чуковского, дом 3, корпус 1",Общая физическая подготовка,14,30,М/ж,Заведующий клубом - Ярославлев Максим Витальевич,Тел.: 498-84-27,498-84-27,Pmcohta@pmcohta.ru,Полюстрово,7806026470,1037816004577,
Петродворцовый,"Государственное бюджетное учреждение спортивная школа ""Манеж""Петродворцового района Санкт-Петербурга","Санкт-Петербург, город Ломоносов, Манежная улица, дом 3, литера А","Легкая атлетика, плавание, спортивная аэробика, хоккей",7 лет,18 лет,М\Ж,Овсянникова Инна Витальевна,422-08-33,422-08-33,Manezh-spb@mail.ru,МО город Ломоносов,7823005504,1027808914440,
Петродворцовый,Государственное бюджетное учреждение спортивная школа олимпийского резерва Петродворцового района Санкт-Петербурга,"Санкт-Петербург, город Петергоф, Озерковая улица, дом 23а, литера А","Баскетбол, велоспорт-шоссе, велоспорт BMX, велоспорт-маутинбайк, дзюдо, лыжные гонки, плавание, футбол, джиу-джитсу",7 лет,18 лет,М\Ж,Козак Татьяна Михайловна,427-34-96,427-34-96,Olimpus78@rambler.ru,МО город Петергоф,7819023910,1027808913296,
Приморский,Государственное бюджетное учреждение спортивная школа олимпийского резерва Приморского района Санкт-Петербурга,"197349, г.Санкт-Петербург, проспект Королёва, дом 23, литера А","Волейбол, гандбол, плавание",7,19,"м,ж",Директор - Горячев Виктор Сергеевич,393-54-24,301-77-89,sport@sportvprim.ru,МО Озеро Долгое,7814103826,1027807581042,
Пушкинский,Государственное бюджетное учреждение спортивная школа олимпийского резерва Пушкинского района Санкт-Петербурга,"Санкт-Петербург, город Пушкин, Ленинградская улица, дом 83, литера А",Легкая атлетика; спортивная гимнастика; художественная гимнастика; спортивное ориентирование; стрельба из лука,5,18,"Мужской, женский",Ходырев Владимир Игоревич,470-52-11,470-52-11,Sds.push@yandex.ru,Муниципальное образование г. Пушкин,7820022526,1027809005388,
Пушкинский,Государственное бюджетное учреждение спортивная школа по футболу Пушкинского района Санкт-Петербурга,"Санкт-Петербург, город Павловск, Госпитальная улица, дом 24, сооружение 1",Футбол,5,18,"Мужской, женский",Баранов Кирилл Сергеевич,630-33-36,630-33-36,Info@football-cs.ru,Муниципальное образование г. Павловск,7820070061,1197847108799,
