№ с/у,Административный район,Судебный район,Адрес,Примечание к адресу,Телефон / факс,Часы работы,Прием граждан,Судья,Секретарь суда,Секретарь судебного заседания,Помощник мирового судьи,Описание границ участка,Реквизиты для уплаты государственной пошлины: Счет получателя,Реквизиты для уплаты государственной пошлины: Банк получателя,Реквизиты для уплаты государственной пошлины: БИК банка получателя,Реквизиты для уплаты государственной пошлины: Корреспондентский счет,Реквизиты для уплаты государственной пошлины: ИНН получателя,Реквизиты для уплаты государственной пошлины: КПП получателя,Реквизиты для уплаты государственной пошлины: Наименование получателя,Реквизиты для уплаты государственной пошлины: Код бюджетной классификации,Реквизиты для уплаты государственной пошлины: Код ОКТМО,Реквизиты для уплаты государственной пошлины: Основание платежа (поле 106),Реквизиты для уплаты государственной пошлины: Налоговый период (поле 107),Реквизиты для уплаты государственной пошлины: Тип платежа (поле 110)
63,Кировский административный район,,"198303, Санкт-Петербург, пр. Стачек, д. 105, корп. 1",,241-51-07,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Какинь Игорь Юльянович,,,,"Границы судебного участка N 63 проходят: от пересечения р. Новой и южной стороны полосы отвода Балтийской ж.д. по южной стороне полосы отвода Балтийской ж.д. до пересечения с пр. Маршала Жукова, далее по оси пр. Маршала Жукова до пересечения с ул. Бурцева, далее по оси ул. Бурцева до проезда, пролегающего западнее р. Новой, далее по оси этого проезда до пр. Ветеранов, далее по оси пр. Ветеранов до ул. Генерала Симоняка, далее по оси ул. Генерала Симоняка до пр. Народного Ополчения, далее по оси пр. Народного Ополчения до р. Новой, далее по оси р. Новой до пересечения с южной стороной полосы отвода Балтийской ж.д.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40340000,,,
64,Кировский административный район,,"198303, Санкт-Петербург, пр. Стачек, д. 105, корп. 1",,241-51-09,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Сухарникова Ирина Ивановна,,,,"Границы судебного участка N 64 проходят: от пересечения ул. Солдата Корзуна и пр. Маршала Жукова по оси пр. Маршала Жукова до пр. Стачек, далее по оси пр. Стачек до Дачного пр., далее по оси Дачного пр. до пр. Ветеранов, далее по оси пр. Ветеранов до ул. Козлова, далее по оси ул. Козлова до безымянного проезда, далее на юго-запад по оси указанного безымянного проезда до ул. Солдата Корзуна, далее по оси ул. Солдата Корзуна до пересечения с пр. Маршала Жукова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40340000,,,
65,Кировский административный район,,"198035, Санкт-Петербург, ул. Двинская, д. 14, литера А",,246-53-71,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Осетрова Татьяна Юрьевна,,,,"Границы судебного участка N 65 проходят: от пересечения пр. Ветеранов и Дачного пр. по оси Дачного пр., по оси проезжей части четной стороны Дачного пр. до пр. Народного Ополчения, далее по оси пр. Народного Ополчения до южной границы ж.-д. платформы ж.-д. ст. Дачное, далее по южной границе ж.-д. платформы ж.-д. ст. Дачное до Лиговского кан., далее на юго-запад по оси Лиговского кан. и южной стороне полосы отвода Балтийской ж.д. до продолжения оси ул. Лени Голикова, далее по оси ул. Лени Голикова до пр. Ветеранов, далее по оси пр. Ветеранов до Дачного пр.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40341000,,,
66,Кировский административный район,,"198303, Санкт-Петербург, пр. Стачек, д. 105, корп. 1",,241-51-01,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Цыганова Татьяна Аллеговна,,,,"Границы судебного участка N 66 проходят: от пересечения Трамвайного пр. и пр. Стачек по оси пр. Стачек до Дачного пр., далее по оси Дачного пр. до пр. Ветеранов, далее по оси пр. Ветеранов до ул. Зины Портновой, далее по оси ул. Зины Портновой до пересечения с Трамвайным пр., далее по оси Трамвайного пр. до пр. Стачек.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40340000,,,
67,Кировский административный район,,"198035, Санкт-Петербург, ул. Двинская, д. 14, литера А",,246-53-78,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Капитонов Михаил Вячеславович,,,,"Границы судебного участка N 67 проходят: от пересечения пр. Стачек и северной стороны полосы отвода подъездной ж.-д. ветки Новый порт - Дача Долгорукова по северной стороне полосы отвода этой ж.д. ветки до Балтийской ж.д., далее на восток 350 м по северной стороне полосы отвода подъездной ж.-д. ветки Новый порт - Дача Долгорукова до пересечения с продолжением западной стороны Кубинской ул., далее на юг по продолжению западной стороны Кубинской ул., далее по восточной стороне полосы отвода Варшавской ж.д., далее по восточной стороне полосы отвода Балтийской ж.д. до Краснопутиловской ул., далее по оси Краснопутиловской ул. до Комсомольской пл., далее, огибая указанную площадь с южной стороны, до Корабельной ул., далее по оси Корабельной ул. до Кронштадтской ул., далее по оси Кронштадтской ул., по оси ул. Новостроек до пр. Стачек, далее по оси пр. Стачек до пересечения с северной стороной полосы отвода подъездной ж.-д. ветки Новый порт - Дача Долгорукова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40341000,,,
68,Кировский административный район,,"198188, Санкт-Петербург, ул. Возрождения, д. 13, литера А",,246-53-88,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Назарова Ирина Александровна,,,,"Границы судебного участка N 68 проходят: от Комсомольской пл. по оси Краснопутиловской ул. на юго-восток до пересечения с западной стороной полосы отвода Балтийской ж.д., далее на юг по западной стороне полосы отвода Балтийской ж.д. до примыкания ж.-д. ветки к ж.-д. ст. Нарвской, далее на северо-запад по западной стороне полосы отвода этой ж.-д. ветки до пересечения с р. Красненькой, далее на запад по оси р. Красненькой до Красненького кладбища, далее по южной и восточной границам Красненького кладбища до р. Красненькой, далее на запад по оси р. Красненькой до пр. Стачек, далее по оси пр. Стачек до дороги в Угольную гавань, далее по оси дороги в Угольную гавань до пр. Маршала Жукова, далее по оси пр. Маршала Жукова до р. Красненькой, далее на запад по оси р. Красненькой, вдоль северо-восточной стороны проектируемой ул. Морской Пехоты до Южной дамбы, далее, огибая Южную и Северную дамбы, до оконечности нефтеналивного района Морского порта, далее по оси Морского кан. и по акватории Морского порта, включая о. Кривая Дамба, до устья р. Емельяновки, далее по бывшему руслу р. Емельяновки, по границе между территориями Кировского завода и завода «Северная верфь»  до Корабельной ул., далее по оси Корабельной ул. до Комсомольской пл.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40338000,,,
69,Кировский административный район,,"198035, Санкт-Петербург, ул. Двинская, д. 14, литера А",,246-53-73,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Козин Артем Сергеевич,,,,"Границы судебного участка N 69 проходят: от пл. Стачек по северной стороне трамвайных путей, проходящих по пл. Стачек, по оси проезда между зданием со входом на ст. метро Нарвская и домом 54 по Старо-Петергофскому пр., по пешеходной дорожке на северо-восток, по юго-восточной границе территории лечебно-производственного комбината, далее по южной стороне полосы отвода ж.д., проходящей между заводом железобетонных изделий Метростроя и предприятием «Красный треугольник», до пересечения с западной стороной полосы отвода Балтийской ж.д., далее на юг по западной стороне полосы отвода Балтийской ж.д. до пересечения с продолжением Малой Митрофаньевской ул., далее по продолжению Малой Митрофаньевской ул. 150 м до пересечения с восточной стороной полосы отвода Балтийской ж.д., далее на юг по восточной стороне полосы отвода Балтийской ж.д. до пересечения с северной стороной полосы отвода ж.д. Новый порт - Дача Долгорукова, далее на запад по северной стороне полосы отвода ж.д. Новый порт - Дача Долгорукова до пр. Стачек, далее по оси пр. Стачек до пл. Стачек.Кроме того, в границы судебного участка N 69 входит территория, границы которой проходят:от пересечения Невельской ул. и Шотландской ул. по оси Шотландской ул. до Двинской ул., далее на север по продолжению Шотландской ул. до портовой ж.-д. ветви, далее по портовой ж.-д. ветви до берега Гутуевской гавани, далее по восточному и северному берегам Гутуевской гавани до Морского кан., далее на север по берегу Морского кан. до северного берега Гутуевского о-ва, далее, пересекая Морской кан., по внешней береговой линии Белого о-ва и Канонерского о-ва до южной оконечности Канонерского о-ва, далее по оси Морского кан. до акватории Морского порта, далее по акватории Морского порта, исключая о. Кривая Дамба, до р. Екатерингофки, далее по оси р. Екатерингофки до Малого Резвого о-ва, далее, огибая с восточной и северной сторон Малый Резвый о-в, до Невельской ул., далее по оси Невельской ул. до пересечения с Шотландской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40341000,,,
70,Кировский административный район,,"198188, Санкт-Петербург, ул. Возрождения, д. 13, литера А",,246-53-90,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Чиркова Ольга Валентиновна,,,,"Границы судебного участка N 70 проходят: от слияния р. Таракановки и р. Екатерингофки по оси р. Таракановки до Перекопской ул., далее по оси Перекопской ул. до пл. Стачек, далее по северной стороне трамвайных путей, проходящих по пл. Стачек, далее по оси пр. Стачек до ул. Новостроек, далее по оси ул. Новостроек до Кронштадтской ул., далее по оси Кронштадтской ул. до Корабельной ул., далее по оси Корабельной ул. до границы между территориями Кировского завода и завода «Северная верфь», далее по границе между территориями Кировского завода и завода «Северная верфь»  до бывшего русла р. Емельяновки, далее по оси бывшего русла р. Емельяновки до акватории Морского порта и устья р. Екатерингофки, далее по оси р. Екатерингофки до слияния ее с р. Таракановкой.Кроме того, в границы судебного участка N 70 входит территория, границы которой проходят:от пересечения Невельской ул. и Шотландской ул. по оси Шотландской ул. до Двинской ул., далее на север по продолжению Шотландской ул. до портовой ж.-д. ветви, далее по портовой ж.-д. ветви до восточного берега Гутуевской гавани, далее по восточному и северному берегам Гутуевской гавани до Морского кан., далее на север по берегу Морского кан. до северного берега Гутуевского о-ва, далее по северному берегу Гутуевского о-ва до р. Екатерингофки, далее на юг по оси р. Екатерингофки до Малого Резвого о-ва, далее, огибая с северной стороны Малый Резвый о-в, до Невельской ул., далее по оси Невельской ул. до пересечения с Шотландской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40338000,,,
71,Кировский административный район,,"198188, Санкт-Петербург, ул. Возрождения, д. 13, литера А",,246-53-94,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Сафрюк Виорика Васильевна,,,,"Границы судебного участка N 71 проходят:  от пересечения пр. Стачек и дороги в Угольную гавань по оси пр. Стачек до моста через р. Красненькую, далее на восток по оси р. Красненькой до Красненького кладбища, далее по южной и восточной границам Красненького кладбища до р. Красненькой, далее по оси р. Красненькой до пересечения с западной стороной полосы отвода ж.-д. ветки на ж.-д. ст. Нарвскую, далее на юго-восток по западной стороне полосы отвода этой ж.-д. ветки до западной стороны полосы отвода Балтийской ж.д., далее на север по западной стороне полосы отвода Балтийской ж.д. до пересечения с Краснопутиловской ул., далее на юго-восток по оси Краснопутиловской ул. до восточной стороны полосы отвода Балтийской ж.д., далее на юг по восточной стороне полосы отвода Балтийской ж.д. до Лиговского кан., далее на юг по оси Лиговского кан. до Ленинского пр., далее по оси Ленинского пр. до пр. Народного Ополчения, далее по оси пр. Народного Ополчения до Счастливой ул., далее по оси проезжей части четной стороны Счастливой ул. до пересечения с бульв. Новаторов, далее на север по оси проезжей части четной стороны бульв. Новаторов до пересечения с Трамвайным пр., далее по оси Трамвайного пр. до пр. Стачек, далее по оси ул. Маршала Казакова до пересечения с пр. Маршала Жукова, далее по оси пр. Маршала Жукова до пересечения с дорогой в Угольную гавань, далее по оси дороги в Угольную гавань до пр. Стачек.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40338000,,,
72,Кировский административный район,,"198035, Санкт-Петербург, ул. Двинская, д. 14, литера А",,246-53-69,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Миносян Карина Львовна,,,,"Границы судебного участка N 72 проходят: от пересечения пр. Стачек и пр. Маршала Жукова по оси пр. Маршала Жукова до ул. Маршала Казакова, далее по оси ул. Маршала Казакова до пр. Стачек, далее по оси пр. Стачек до пересечения с пр. Маршала Жукова.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7805035070,780501001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 19 по Санкт-Петербургу),18210803010011000110,40341000,,,
73,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-22,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Морозова Ольга Владимировна,,,,"Границы судебного участка N 73 проходят: от пересечения пр. Ленина и ул. Веры Слуцкой по оси ул. Веры Слуцкой до Стахановской ул., далее по оси Стахановской ул. до ул. Вавилова, далее по оси ул. Вавилова до Пролетарской ул., далее по оси Пролетарской ул. через Большой Ижорский мост до Красной ул., далее по оси Красной ул. до Тосненского пер., далее по оси Тосненского пер. до Тверской ул., далее по оси Тверской ул. до ул. Ижорского Батальона, далее по оси ул. Ижорского Батальона до р. Ижоры, далее на север по оси р. Ижоры до Большого Ижорского моста, далее через Большой Ижорский мост до пересечения с берегом р. Ижоры, далее по берегу р. Ижоры до пешеходного моста через Ижорский пруд в створе ул. Володарского, далее через пешеходный мост до Раумской ул., далее по оси Раумской ул. до ул. Веры Слуцкой, далее по оси ул. Веры Слуцкой до бульв. Трудящихся, далее по оси бульв. Трудящихся до Пролетарской ул., далее по оси Пролетарской ул. до ул. Красных Партизан, далее по оси ул. Красных Партизан до пр. Ленина, далее по оси пр. Ленина до пересечения с ул. Веры Слуцкой.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
74,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-26,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Семёнова Анна Евгеньевна,,,,"Границы судебного участка N 74 проходят:от пересечения юго-западной стороны полосы отвода ж.д. Санкт-Петербург - Москва и р. Ижоры по оси р. Ижоры до Финляндской ул., далее по оси Финляндской ул. до ул. Братьев Радченко, далее по оси ул. Братьев Радченко до пр. Ленина, далее по оси пр. Ленина до ул. Веры Слуцкой, далее по оси ул. Веры Слуцкой до Стахановской ул., далее по оси Стахановской ул. до ул. Вавилова, далее по оси ул. Вавилова до Пролетарской ул., далее по оси Пролетарской ул. через Большой Ижорский мост до Красной ул., далее по оси Красной ул. до Тосненского пер., далее по оси Тосненского пер. до Тверской ул., далее по оси Тверской ул. до ул. Ремизова, далее по оси ул. Ремизова до пересечения с юго-западной стороной полосы отвода ж.д. Санкт-Петербург - Москва, далее на северо-запад по юго-западной стороне полосы отвода ж.д. Санкт-Петербург - Москва до пересечения с р. Ижорой.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
75,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-30,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Устюгова Галина Валерьевна,,,,"Границы судебного участка N 75 проходят: от пересечения в створе ул. Ремезова и юго-западной стороны полосы отвода ж.д. Санкт-Петербург - Москва на юго-восток по юго-западной стороне полосы отвода ж.д. Санкт-Петербург - Москва до пересечения с границей Тосненского района Ленинградской области, далее по границе Тосненского района Ленинградской области до Тверской ул., далее по оси Тверской ул. до ул. Ремезова, далее по оси ул. Ремезова до пересечения в створе ул. Ремезова с юго-западной стороной полосы отвода ж.д. Санкт-Петербург - Москва.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
76,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-34,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Ведерникова Анастасия Владимировна,,,,"Границы судебного участка N 76 проходят: от пересечения северной стороны полосы отвода ж.д. Санкт-Петербург - Москва и р. Ижоры по оси р. Ижоры до Финляндской ул., далее по оси Финляндской ул. до ул. Братьев Радченко, далее по оси ул. Братьев Радченко до пр. Ленина, далее по оси пр. Ленина до ул. Красных Партизан, далее по оси ул. Красных Партизан до Пролетарской ул., далее по оси Пролетарской ул. до ул. Танкистов, далее по оси ул. Танкистов до оси Колпинского шоссе, далее 1900 м по оси Колпинского шоссе до дренажного канала, далее на север и северо-запад по оси дренажного канала до пересечения с р. Славянкой, далее на север по оси р. Славянки до пересечения с северной границей земель сельскохозяйственного предприятия «Детскосельское», далее по границе земель сельскохозяйственного предприятия «Ленсоветовское»  в восточном направлении 350 м и в северном направлении 960 м до южной стороны полосы отвода ж.д. Санкт-Петербург - Москва, далее по ней на юго-восток 250 м, далее, пересекая ж.д., по северной стороне полосы отвода ж.д. Санкт-Петербург - Москва до пересечения с р. Ижорой.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
77,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-38,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Копусов Сергей Михайлович,,,,"Границы судебного участка N 77 проходят: от Большого Ижорского моста по левому берегу р. Ижоры до пешеходного моста через Ижорский пруд в створе ул. Володарского, далее через пешеходный мост до Раумской ул., далее по оси Раумской ул. до ул. Веры Слуцкой, далее по оси ул. Веры Слуцкой до Заводского пр., далее по границе Тосненского района Ленинградской области до Тверской ул., далее по оси Тверской ул. до ул. Ижорского Батальона, далее по оси ул. Ижорского Батальона до оси р. Ижоры, далее по оси р. Ижоры до Большого Ижорского моста.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
78,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-42,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Меркушева Ирина Владимировна,,,,"Границы судебного участка N 78 проходят: от пересечения ул. Веры Слуцкой и бульв. Трудящихся по оси бульв. Трудящихся до Пролетарской ул., далее по оси Пролетарской ул. до ул. Танкистов, далее по оси ул. Танкистов до оси Колпинского шоссе, далее по оси Колпинского шоссе до пересечения с р. Поповой Ижоркой, далее по оси р. Поповой Ижорки, по северной границе земель сельскохозяйственного предприятия «Детскосельское», по южной стороне Заводского пр. до ул. Веры Слуцкой, далее по оси ул. Веры Слуцкой до бульв. Трудящихся.Кроме того, в границы судебного участка входит пос. Петро-Славянка, границы которого проходят:от пересечения Софийской ул. и южной стороны полосы отвода Южного ж.-д. полукольца на восток по южной стороне полосы отвода Южного ж.-д. полукольца до пересечения с западной стороной полосы отвода ж.д. Санкт-Петербург - Москва, далее на юго-восток по западной стороне полосы отвода ж.д. Санкт-Петербург - Москва до ж.-д. ст. Славянка, далее, пересекая ж.д., на северо-запад по восточной стороне полосы отвода Московского направления ж.д. и затем на север по восточной стороне полосы отвода соединительной ветки ж.д. Петро-Славянка - Рыбацкое до северо-западной границы промзоны пос. Петро-Славянка, далее по северо-западной границе промзоны пос. Петро-Славянка до дороги на Петро-Славянку, далее по оси дороги на Петро-Славянку до южной стороны полосы отвода Волховского направления ж.д., далее на юго-восток по южной стороне полосы отвода этой ж.д. до пересечения с западной стороной ЛЭП, далее по западной стороне ЛЭП в южном направлении до пересечения с южной стороной полосы отвода ж.д. Санкт-Петербург - Москва, далее 250 м на северо-запад по южной стороне полосы отвода ж.д. Санкт-Петербург - Москва до границы земель сельскохозяйственного предприятия «Ленсоветовское», далее по границе земель сельскохозяйственного предприятия «Ленсоветовское»  в южном направлении 960 м и западном направлении 350 м до пересечения с р. Славянкой, далее на юг по оси р. Славянки, затем на северо-запад, огибая молочно-товарную ферму сельскохозяйственного предприятия «Ленсоветовское»  с северной стороны, далее по мелиоративным канавам, пересекая земли сельскохозяйственного предприятия «Ленсоветовское», далее на северо-запад по северной стороне дренажной канавы до оси, являющейся продолжением южной границы территории Южной ТЭЦ, на запад и далее на восток до западной границы территории Южной ТЭЦ, затем на северо-запад по западной границе территории Южной ТЭЦ до транспортной развязки кольцевой автодороги в районе Софийской ул., далее по юго-западной стороне развязки до южной стороны кольцевой автодороги, далее на северо-восток по южной стороне кольцевой автодороги до южной стороны полосы отвода Южного ж.-д. полукольца и далее на восток по южной стороне полосы отвода Южного ж.-д. полукольца до Софийской ул.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
79,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-46,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Филиппова Кристина Александровна,,,,"Границы судебного участка N 79 проходят: от оси р. Невы по юго-восточной границе Невского района на юго-запад до Шлиссельбургского шоссе, далее на запад 240 м по оси Шлиссельбургского шоссе до Петрозаводского шоссе, далее на юго-восток 2000 м по оси Петрозаводского шоссе до Плановой ул., далее по оси Плановой ул. и ее продолжению до пересечения с южной стороной полосы отвода ж.д. Санкт-Петербург - Волховстрой, далее на юго-восток по южной стороне полосы отвода ж.д. Санкт-Петербург - Волховстрой до р. Ижоры, далее на юг по оси р. Ижоры до р. Поповой Ижорки, далее по оси р. Поповой Ижорки до проселочной дороги, далее на северо-запад 330 м до дороги на Металлострой, далее на юго-запад 740 м по оси дороги на Металлострой, далее на юг 300 м по западной стороне ЛЭП до пересечения с северной стороной полосы отвода ж.д. Санкт-Петербург - Москва, далее по северной стороне полосы отвода ж.д. Санкт-Петербург - Москва до р. Ижоры, далее по оси р. Ижоры до юго-западной стороны полосы отвода ж.д. Санкт-Петербург - Москва, далее по юго-западной стороне полосы отвода ж.д. Санкт-Петербург - Москва до пересечения с границей Тосненского района Ленинградской области, далее по границе Тосненского района Ленинградской области, далее по границе Кировского района Ленинградской области до р. Невы, далее по оси р. Невы до пересечения с границей Невского района.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
80,Колпинский административный район,,"196657, г. Колпино, Бульвар Трудящихся, д. 29/52, литера А",,246-52-50,"понедельник - четверг: c 9-00 до 18-00, пятница до 17-00; Обед с 13-00 до 13-48","понедельник: с 14-00 до 17-00, четверг: с 10-00 до 13-00",Савельева Ольга Владимировна,,,,"Границы судебного участка N 80 проходят: от пересечения Петрозаводского шоссе и северо-западной стороны подъездной автодороги к очистным сооружениям г. Колпино, далее по западной стороне указанной подъездной автодороги, огибая участок очистных сооружений с северной и западной сторон, на юго-запад до пересечения с южной стороной полосы отвода ж.д. Санкт-Петербург - Волховстрой, далее по южной стороне полосы отвода ж.д. Санкт-Петербург - Волховстрой до пересечения с западной стороной ЛЭП, далее на юг по западной стороне ЛЭП до пересечения с северной стороной полосы отвода ж.д. Санкт-Петербург - Москва, далее на юго-восток 2700 м по северной стороне полосы отвода ж.д. Санкт-Петербург - Москва до пересечения с ЛЭП, далее по западной стороне ЛЭП на север 300 м до пересечения с дорогой на пос. Металлострой, далее по оси этой дороги на северо-восток 740 м до пересечения с проселочной дорогой, далее по оси указанной проселочной дороги на юго-восток 330 м до р. Поповой Ижорки, далее на северо-восток по оси р. Поповой Ижорки до р. Ижоры, далее на север по оси р. Ижоры до пересечения с южной стороной полосы отвода ж.д. Санкт-Петербург - Волховстрой, далее на северо-запад по южной стороне полосы отвода ж.д. Санкт-Петербург - Волховстрой до продолжения Плановой ул., далее на северо-восток по оси Плановой ул. до Петрозаводского шоссе, далее на северо-запад по оси Петрозаводского шоссе до пересечения с западной стороной подъездной автодороги к очистным сооружениям г. Колпино.",40101810200000010001,Северо-Западное ГУ Банка России г. Санкт-Петербург,44030001,не указывается,7817003690,781701001,УФК по г. Санкт-Петербургу (Межрайонная ИФНС России № 20 по Санкт-Петербургу),18210803010011000110,40342000,,,
