№ п/п,Полное наименование объединения,Территориальный  статус,Дата регистрации объединения (общества),ИНН,ОГРН,Адрес,Координаты,Район города,Ближайщая станция метро,Руководитель,Телефон,Факс,Электронная почта
84,"Санкт-Петербургская общественная организация ""Возрождение духовного и культурного наследия казачества ""Конвой Святого Царя Страстотерпца""",Местная,2011-11-15,7814290284,1117800015948,"197701, Санкт-Петербург, г. Сестрорецк, Приморское шоссе, дом 238, литера А","60.055493,29.976053",Курортный,Старая деревня,Коневиченко Игорь Леонидович,8-921-932-22-73,-,Info@sestroretsk.com
85,"Санкт-Петербургская региональная общественная организация ""Центр Цыганской Культуры""",Региональная,2020-04-02,7802706185,1207800049027,"194156, Санкт-Петербург, 2-й Муринский пр., дом 10, корпус 1, квартира 117","60.002949,30.334203",Выборгский,Площадь Мужества,Череповский Александр Васильевич,8-952-219-81-12,-,Romani-lira@yandex.ru
86,"Региональная общественная организация поддержки и объединения граждан по развитию творческого и интелектуального наследия башкир ""Курултай (конгресс) башкир Санкт-Петербурга""",Региональная,2022-09-07,7840101790,1227800116367,"191002, Санкт-Петербург, пр. Загородный, дом 9, литера А, пом. 3Н, офис 3","59.926999,30.344102",Центральный,Звенигородская,Ибрагимова Гульназ Халяфовна,8-931-217-52-08,-,-
87,"Региональная общественная организация Национальный культурный центр ""НАШХА""",Региональная,2021-10-06,7810929940,1217800153691,"196006, Санкт-Петербург, ул. Цветочная, дом 16, литера В, пом. 4Н","59.886844,30.33184",Московский,Московские ворота,Оздамиров Алаш Зайндыевич,334-31-83,-,Predchech-spb@yandex.ru
88,"Региональная общественная организация защиты прав и интересов граждан кыргызской республики ""Кыргызская диаспора в Санкт-Петербурге""",Региональная,2022-11-25,7842210675,1227800153206,"191036, Санкт-Петербург, Лиговский пр., дом 10/118, литера А, пом. 233Н, оф. 5144","59.932689,30.362634",Центральный,Площадь Восстания,Кутунаев Кочкорбай Калдарбаевич,8-952-230-45-94,-,Kyrgyzkoom@mail.ru
89,"Окружное казачье общество ""Казачий округ Санкт-Петербурга""",-,2017-10-13,7807182231,1177800005118,"198328, Санкт-Петербург, ул. Доблести, дом 7, корпус 2, кв.12","59.863486,30.1791",Красносельский,Проспект Ветеранов,Шаталов Роман Иванович,8-961-801-63-28,-,Spboko@mail.ru
90,"Районное казачье общество ""Балтийская линия""",-,2015-02-03,7814175186,1157800000555,"197341, Санкт-Петербург, ул. Афонская, дом 1, корпус 2, офис 301","60.016258,30.305951",Приморский,Удельная,Капустин Алексей Алексеевич,8-965-759-69-52,-,Baltika862@mail.ru
91,"Станичное казачье общество ""Станица ""Екатерингофская""",-,2015-12-03,7839048327,1157800005660,"190020, Санкт-Петербург, просп. Старо-Петергофский, дом 41, кв.21","59.902343,30.275327",Красносельский,Проспект Ветеранов,Драгун Анатолий Викторович,8-911-225-59-41,-,Anadragun@yandex.ru
92,"Станичное казачье общество ""Станица ""Гребенская""",-,2015-11-19,7807099199,1157800005307,"198328, Санкт-Петербург, ул. Доблести, дом 7, корпус 2, кв.12","59.863486,30.1791",Красносельский,Проспект Ветеранов,Захаренко Олег Алексеевич,8-981-782-25-55,-,Zoa73@mail.ru
93,"Станичное казачье общество ""Станица ""Приморская""",-,2011-06-02,7814290157,1117800006940,"197375, Санкт-Петербург, просп. Новоколомяжский, дом 4, корпус 1, пом. 2-Н","60.026568,30.297219",Приморский,Удельная,Ромашов Владимир Николаевич,8-905-212-75-09,-,VpcVympel@yandex.ru
94,"Станичное казачье общество ""Дружина Пушкинская"" Пушкинского района Санкт-Петербурга",-,2011-07-21,7820290050,1117800010866,"196608, Санкт-Петербург, г. Пушкин, ул. Железнодорожная, дом 56, литера А","59.734412,30.419327",Пушкинский,Купчино,Карлаш Виктор Степанович,8-950-028-88-46,-,Viktorkarlash@yandex.ru
95,"Станичное казачье общество ""Станица ""Георгиевская""",-,2013-02-12,7810436863,1137800001240,"196084, Санкт-Петербург, ул. Коли Томчака, дом 9, литера Б, пом. 1Н","59.88999,30.324564",Московский,Московские ворота,Дарнев Василий Николаевич,8-921-386-40-23,-,Vndarnev@mail.ru
96,"Станичное казачье общество Выборгского района Санкт-Петербурга ""Вольная""",-,2010-04-08,7802236998,1107800001836,"194017, Санкт-Петербург, пр. Тореза, дом 98, корпус 1","60.019163,30.332047",Выборгский,Удельная,Сергеев Виктор Юрьевич,553-21-41,-,Skovrspb2010@mail.ru
97,"Станичное казачье общество ""Станица ""Никольская""",-,2010-12-20,7814160905,1107800010537,"197341, Санкт-Петербург, просп. Королева, дом 19, литера А, пом. 40Н","60.012966,30.28369",Приморский,Комендантский проспект,Поляков Вячеслав Анатольевич,8-921-938-44-56,-,Poliakovv@rambler.ru
98,"Станичное казачье общество ""Станица Адмиралтейская""",-,2010-03-18,7839018442,1107800001407,"190121, Санкт-Петербург, просп. Английский, дом 21-23/60, литера Б, пом. 1 Н","59.923477,30.284265",Адмиралтейский,Садовая,Царьков Виталий Юрьевич,572-53-63,-,Tsarkovvitali@mail.ru
99,"Василеостровское станичное казачье общество ""Святой Великомученицы Екатерины""",-,2010-04-08,7801269655,1107800001825,"199155, Санкт-Петербург, ул. Железноводская, дом 17/5","59.952542,30.249258",Василеостровский,Приморская,"Краев Александр Васильевич""",8-921-757-53-69,-,-
100,"Хуторское казачье общество ""Хутор ""Приморский""",-,2014-01-22,7814291538,1147800000292,"197341, Санкт-Петербург, ул. Афонская, дом 1, корпус 2, офис 301","60.016258,30.305951",Приморский,Удельная,Капустин Алексей Алексеевич,8-965-759-69-52,-,Baltika862@mail.ru
101,"Хуторское казачье общество ""Хутор "" Царскосельский""",-,2013-12-23,7820290370,1137800011546,"196607, Санкт-Петербург, г. Пушкин, ул. Ленинградская, дом 67, литера. А, офис 2Н","59.729772,30.409104",Пушкинский,Купчино,Федоров Евгений Васильевич,8-950-026-57-33,-,Krepost40@rambler.ru
102,"Хуторское казачье общество ""Хутор ""Константиновский""",-,2016-03-14,7807113397,1167800050934,"198320, Санкт-Петербург, ул. Маршала Захарова, дом 62, корпус 1, кв.52","59.849614,30.213424",Красносельский,Проспект Ветеранов,Золотов Александр Вячеславович,8-921-946-40-25,-,Aleksandr.zoloto@mail.ru
103,"Хуторское казачье общество ""Хутор ""Сосновский""",-,2014-09-24,7813292190,1147800005759,"197198, Санкт-Петербург, ул. Введенская, дом 10, кв.52","59.9563,30.303624",Петроградский,Горьковская,Курапов Сергей Владимирович,8-921-977-06-36,-,Ksv--1@mail.ru
104,"Станичное казачье общество ""Станица Крестовоздвиженская""",-,2021-12-01,7806593408,1217800185668,"195248, Санкт-Петербург, ш Революции, д. 51 литера Б, помещ. 1-н","59.960291,30.450705",Красногвардейский,Ладожская,Марченко Михаил Юрьевич,8-921-770-79-00,-,-
105,"Станичное казачье общество ""Станица Охтинская""",-,2021-10-21,7806592210,1217800163415,"195248, Санкт-Петербург, ш Революции, д. 51 литера Б, помещ. 1-н","59.960291,30.450705",Красногвардейский,Ладожская,Кабаков Антон Федорович,8-921-770-79-00,-,Kos-vr@mail.ru
106,"Хуторское казачье общество ""Хутор Владимирский""",-,2018-04-06,7806539979,1187800001542,"191025, Санкт-Петербург, ул. Рубинштейна, дом 8, литера А, пом. 3-Н","59.931652,30.345935",Центральный,Достоевская,Семенюта Андрей Юрьевич,8-921-770-79-00,-,Kos-vr@mail.ru
107,"Санкт-Петербургское городское казачье общество ""Конвой""",-,2009-10-22,7802236677,1097800006260,"194044, Санкт-Петербург, пер. Крапивный, дом 3А, корпус литер А","59.969646,30.340635",Выборгский,Выборгская,Юрченко Игорь Федорович,8-921-947-77-28,-,Conwoy@list.ru
108,"Санкт-Петербургское городское казачье общество ""Союз казачьих формирований""",-,2015-07-28,7839040952,1157800003547,"190020, Санкт-Петербург, ул.Курляндская, дом 25, литера А, пом. 11-Н","59.912156,30.287499",Адмиралтейский,Балтийская,Даскиев Магомет Бексултанович,498-09-93,-,-
109,"Городское казачье общество ""Православный союз казаков ""Ирбис""",-,2012-05-29,7802290522,1127800005277,"194356, Санкт-Петербург, ул. Шоссе Выборгское, дом 5, корпус 1","60.041481,30.318931",Выборгский,Озерки,Поляков Андрей Викторович,385-88-05,-,1824566@mail.ru
110,"Санкт-Петербургское отдельное казачье общество ""Казачья стража""",-,2016-03-18,7802236927,1107800001429,"194017, Санкт-Петербург, проспект Тореза, дом 98, корпус 1","60.019163,30.332047",Выборгский,Удельная,Чипизубов Игорь Владимирович,8-921-756-84-25,-,Atamanchipizub@mail.ru
111,"Санкт-Петербургское городское казачье общество ""Императорский конвой""",-,2016-04-26,7838290036,1117800004068,"190031, Санкт-Петербург, пер. Столярный, дом 10-12, офис 22","59.927446,30.31205",Адмиралтейский,Садовая,Жидков Андрей Александрович,8-968-968-01-06,-,Acccvoin@mail.ru
112,Хуторское казачье общество имени атамана всех казачьих войск Цесаревича Алексея,-,2022-08-01,7806600937,1227800098217,"195248, Санкт-Петербург, ш Революции, д. 51 литера Б, помещ. 1-н","59.960291,30.450705",Красногвардейский,Ладожская,Богданов Алексей Александрович,8-921-770-79-00,-,Kos-vr@mail.ru
113,Станичное казачье общество имени Императора Александра II Освободителя,-,2022-09-21,7806603039,1227800123770,"195248, Санкт-Петербург, ш Революции, д. 51 литера Б, помещ. 1-н","59.960291,30.450705",Красногвардейский,Ладожская,Алешин Виктор Аркадьевич,8-921-770-79-00,-,Kos-vr@mail.ru
114,"Юртовое казачье общество ""Восточный рубеж""",-,2023-02-01,7806607146,1237800010227,"195248, Санкт-Петербург, ш Революции, д. 51 литера Б, помещ. 1-н","59.960291,30.450705",Красногвардейский,Ладожская,Мозговой Евгений Дмитриевич,8-921-770-79-00,-,Kos-vr@mail.ru
