№,Наименование лечебно-профилактического учреждения,Тип лечебно-профилактического учреждения,Адрес,Координаты,Район города,Руководитель,Телефон,Факс,Режим работы
121,"СПб ГБУЗ ""Детская городская больница №17 Святителя Николая Чудотворца""",Детские городские больницы (кроме областных),"190121, Санкт-Петербург, ул.Декабристов, д.40, лит.А","59.9252,30.2914",Адмиралтейский,Левиз Владимир Валентинович,714-00-01,714-00-03,
122,"СПб ГБУЗ ""Детская городская больница №2 святой Марии Магдалины""",Детские городские больницы (кроме областных),"199053, Санкт-Петербург, линия 1-я В.О., д. 58","59.9475,30.2832",Василеостровский,Микава Автандил Георгиевич,670-25-60,328-48-72,
123,"СПб ГБУЗ ""Детская городская больница №22""",Детские городские больницы (кроме областных),"196657, г. Колпино, пр. Заводской, д. 1","59.7393,30.557",Колпинский,Каменева Ольга Анатольевна,573-94-01,573-94-01,
124,"СПб ГБУЗ ""Детская городская больница Святой Ольги""",Детские городские больницы (кроме областных),"194156, Санкт-Петербург, ул. Земледельческая, д. 2","59.9893,30.3302",Выборгский,Начинкина Татьяна Алексанровна,295-50-00,295-50-00,
125,"СПб ГБУЗ ""Детская городская клиническая больница №5 им.Н.Ф. Филатова""",Детские городские больницы (кроме областных),"192289, Санкт-Петербург, ул. Бухарестская, д. 134","59.8383,30.4162",Фрунзенский,Исанкина Людмила Николаевна,400-04-12,400-04-11,
126,"СПб ГБУЗ ""Детская городская поликлиника №11""",Детские поликлиники,"194021, Санкт-Петербург, пр.Пархоменко, д.30","59.999,30.3487",Выборгский,Маханова Наталья Юрьевна,550-24-80,550-24-80,
127,"СПб ГБУЗ ""Детская городская поликлиника №17""",Детские поликлиники,"194358, Санкт-Петербург, ул.Есенина, д.38 , корп.2","60.0559,30.344",Выборгский,Игошина Анна Николаевна,517-84-35,517-84-35,
128,"СПб ГБУЗ ""Детская городская поликлиника №19""",Детские поликлиники,"197046, Санкт-Петербург, ул.Куйбышева, д.25","59.9568,30.332",Петроградский,Белова Галина Борисовна,233-51-14,233-51-14,
129,"СПб ГБУЗ ""Детская городская поликлиника №29""",Детские поликлиники,"195274, Санкт-Петербург, ул. Демьяна Бедного, д.18, корп.3","60.0421,30.3815",Калининский,Райковская Елена Валерьевна,559-07-21,559-07-21,
130,"СПб ГБУЗ ""Детская городская поликлиника №35""",Детские поликлиники,"196191, Санкт-Петербург, пр.Ленинский, д.168, корп.2","59.853,30.3101",Московский,Савинова Галина Юрьевна,241-33-22,241-33-22,
131,"СПб ГБУЗ ""Детская городская поликлиника №44""",Детские поликлиники,"191144, Санкт-Петербург, ул.Мытнинская, д.25, литер А","59.9357,30.3807",Центральный,Семьюшкин Михаил Александрович,417-40-05,274-11-73,
132,"СПб ГБУЗ ""Детская городская поликлиника №45 Невского района""",Детские поликлиники,"193312, Санкт-Петербург, пр.Товарищеский, д.10, корп.3","59.9196,30.4861",Невский,Новикова Марина Михайловна,584-54-95,584-54-95,
133,"СПб ГБУЗ ""Детская городская поликлиника №49"" Пушкинского района",Детские поликлиники,"196600, Санкт-Петербург, г.Пушкин, Софийский бульвар, д.28, литер А","59.7188,30.4226",Пушкинский,Гирич Оксана Петровна,670-00-49,,
134,"СПб ГБУЗ ""Детская городская поликлиника №51""",Детские поликлиники,"196657, Санкт-Петербург, г.Колпино, ул.Металлургов, д.11, литер А","59.7376,30.5658",Колпинский,Резчикова Галина Борисовна,573-92-16,573-92-16,
135,"СПб ГБУЗ ""Детская городская поликлиника №62""",Детские поликлиники,"193318, Санкт-Петербург, пр.Искровский, д.8","59.9121,30.4615",Невский,Кряжева Светлана Валерьевна,589-17-34,589-17-34,
136,"СПб ГБУЗ ""Детская городская поликлиника №68""",Детские поликлиники,"195426, Санкт-Петербург, пр.Наставников, д.20, корп.1, литер А","59.9438,30.4902",Красногвардейский,Васильев Вячеслав Вячеславович,524-16-74,524-16-74,
137,"СПб ГБУЗ ""Детская городская поликлиника №7""",Детские поликлиники,"194291, Санкт-Петербург, ул.Кустодиева, д.8, литер А","60.0433,30.3561",Выборгский,Матесович Елена Болеславовна,417-55-93,417-55-93,
138,"СПб ГБУЗ ""Детская городская поликлиника №71""",Детские поликлиники,"194354, Санкт-Петербург, пр.Энгельса, д.117, литер А","60.0414,30.328",Выборгский,Рыбакова Галия Камильевна,594-12-16,594-12-16,
139,"СПб ГБУЗ ""Детская городская поликлиника №73""",Детские поликлиники,"192177, Санкт-Петербург, ул.Караваевская, д.30","59.8324,30.5112",Невский,Масленцева Лариса Юрьевна,246-03-83,246-03-83,
140,"СПб ГБУЗ ""Детская городская стоматологическая поликлиника №1""",Детские стоматологические поликлиники,"199406, Санкт-Петербург, ул. Шевченко, д. 30, литер А","59.939,30.2407",Василеостровский,Котюрова Ольга Леонидовна,355-79-79,355-79-26,
141,"СПб ГБУЗ ""Детская инфекционная больница №3""",Инфекционные больницы для детей,"199026, Санкт-Петербург, пр. Большой В.О., д. 77/17","59.9334,30.2613",Василеостровский,Тюленева Галина Александровна,321-53-93,321-53-93,
142,"СПб ГБУЗ ""Детская поликлиника №30""",Детские поликлиники,"197341, Санкт-Петербург, пр. Королева, д. 3, корп.2, литер А","60.0105,30.2928",Приморский,Громова Татьяна Самуиловна,300-51-18,394-72-65,
143,"СПб ГБУЗ ""Детская стоматологическая поликлиника №3""",Детские стоматологические поликлиники,"195271, Санкт-Петербург, ул. Брюсовская, д. 2, лит.А","59.9859,30.4244",Калининский,Белогорцева Анастасия Николаевна,409-89-96,409-89-96,
144,"СПб ГБУЗ ""Детская стоматологическая поликлиника №4""",Детские стоматологические поликлиники,"198088, Санкт-Петербург, ул. Маршала Говорова, д. 15","59.8794,30.2682",Кировский,Сухляева Юлия Владимировна,417-33-27,417-33-27,
145,"СПб ГБУЗ ""Детский городской многопрофильный клинический специализированный центр высоких медицинских технологий"" (бывш. ДГБ №1)",Детские городские больницы (кроме областных),"198205, Санкт-Петербург, ул. Авангардная, д. 14","59.8378,30.1854",Красносельский,Гостимский Александр Вадимович,735-16-91,735-99-98,
146,"СПб ГБУЗ ""Детский городской многопрофильный клинический центр ВМТ им. К.А. Раухфуса""",Детские городские больницы (кроме областных),"191036, Санкт-Петербург, пр. Лиговский, д. 8","59.9345,30.3639",Центральный,Детков Вячеслав Юрьевич,578-75-01,578-75-82,
147,"СПб ГБУЗ ""Детский психоневрологический санаторий ""Комарово""",Санаторно-курортные учреждения,"197733, Санкт-Петербург, п. Комарово, ул. Социалистическая, д. 2/8 литер А","60.1806,29.8154",Курортный,Зиновьев Александр Викторович,241-22-32,241-22-32,
148,"СПб ГБУЗ ""Детский санаторий ""Пионер"" (психоневрологический)",Санаторно-курортные учреждения,"197720, Курортный район, г.Зеленогорск, шоссе Приморское, д. 595","60.1932,29.6531",Курортный,Косых Вячеслав Иннокентьевич,433-33-54,433-34-56,
149,"СПб ГБУЗ ""Детский санаторий-Реабилитационный центр ""Детские Дюны""",Санаторно-курортные учреждения,"197701, Санкт-Петербург, г.Сестрорецк, 37-й км Приморского шоссе, дом 1","60.1194,29.952",Курортный,Морозова Олеся Леонидовна,246-22-88,246-22-88,
150,"СПб ГБУЗ ""Детский центр восстановительной медицины и реабилитации №3""",Прочие амбулаторные учреждения,"195269, Санкт-Петербург, ул. Брянцева, д. 5, корп. 2, лит. А","60.0339,30.4045",Калининский,Лохова Любовь Алиевна,596-49-27,290-00-71,
151,"СПб ГБУЗ ""Диагностический Центр №7 (глазной) для взрослого и детского населения""",Медицинские диагностические центры,"191028, Санкт-Петербург, ул.Моховая, д.38","59.9399,30.3454",Центральный,Фролов Олег Алексеевич,719-70-01,719-70-01,
152,"СПб ГБУЗ ""Елизаветинская больница""",Городские больницы (включая клинические),"195257, Санкт-Петербург, ул. Вавиловых, д. 14","60.0248,30.3909",Калининский,Петров Сергей Викторович,555-05-55,555-57-73,
153,"СПб ГБУЗ ""Женская консультация №18""",Женские консультации,"190020, Санкт-Петербург, Нарвский пр., д.7, лит.А","59.9054,30.2738",Адмиралтейский,Котылевская Ирина Вячеславовна,246-08-99,246-08-99,
154,"СПб ГБУЗ ""Женская консультация №22""",Женские консультации,"194354, Санкт-Петербург, ул. Сикейроса, д. 10, лит. В","60.0358,30.332",Выборгский,Кутуева Флора Рафхатовна,296-47-04,296-31-08,
155,"СПб ГБУЗ ""Женская консультация №33""",Женские консультации,"193079, Санкт-Петербург, ул. Народная, д. 17, корп. 2","59.8791,30.4644",Невский,Ким Ирина Валерьевна,446-14-59,446-14-59,
156,"СПб ГБУЗ ""Женская консультация №40""",Женские консультации,"197348, Санкт-Петербург, пр. Богатырский, д. 7 корп. 5","60.0009,30.2852",Приморский,Чеботарева Ирина Алексеевна,395-17-17,395-42-71,
157,"СПб ГБУЗ ""Женская консультация №44"" Пушкинского района",Женские консультации,"196601, Санкт-Петербург, г. Пушкин, ул. Госпитальная, д. 11, литер А","59.7187,30.419",Пушкинский,Миннуллин Руслан Ильдарович,476-63-82,476-63-82,
158,"СПб ГБУЗ ""Женская консультация №5""",Женские консультации,"196143, Санкт-Петербург, ул. Орджоникидзе, д. 21","59.8432,30.3334",Московский,Логунова Татьяна Евгеньевна,573-95-90,573-95-90,
159,"СПб ГБУЗ ""Клиническая больница Святителя Луки""",Городские больницы (включая клинические),"194044, Санкт-Петербург, ул. Чугунная, д.46 литер А","59.9722,30.3682",Калининский,Попов Сергей Валерьевич,576-11-01,576-11-55,
160,"СПб ГБУЗ ""Клиническая инфекционная больница им. С.П. Боткина""",Инфекционные больницы для взрослых,"191167, Санкт-Петербург, ул. Миргородская, д. 3","59.9247,30.3734",Центральный,Гусев Денис Александрович,409-79-00,717-28-48,
161,"СПб ГБУЗ ""Клиническая ревматологическая больница №25""",Прочие больницы,"190068, Санкт-Петербург, ул. Большая Подьяческая, 30","59.9211,30.3055",Адмиралтейский,Инамова Оксана Владимировна,670-30-60,670-30-60,
162,"СПб ГБУЗ ""Кожно-венерологический диспансер №1""",Кожно - венерологические диспансеры,"199106, Санкт-Петербург, пр-кт Большой В.О. , д.85","59.9343,30.2359",Василеостровский,Щеголев Виталий Владимирович,355-77-92,355-77-92,
163,"СПб ГБУЗ ""Кожно-венерологический диспансер №10-Клиника дерматологии и венерологии""",Кожно - венерологические диспансеры,"194021, Санкт-Петербург, пр. Пархоменко, д. 29, лит А","59.9983,30.3478",Выборгский,Бондарь Остап Игоревич,670-50-70 доб.302,550-21-60,
164,"СПб ГБУЗ ""Кожно-венерологический диспансер №11""",Кожно - венерологические диспансеры,"191187, Санкт-Петербург, ул. Чайковского, д. 1","59.9462,30.3394",Центральный,Борухович Дмитрий Геннадьевич,273-62-07,273-62-07,
165,"СПб ГБУЗ ""Кожно-венерологический диспансер №2""",Кожно - венерологические диспансеры,"196084, Санкт-Петербург, Московский пр., д.95, кор.3","59.8948,30.3167",Московский,Атрощенко Антон Валерьевич,241-32-27,387-42-93,
166,"СПб ГБУЗ ""Кожно-венерологический диспансер №3""",Кожно - венерологические диспансеры,"198020, Санкт-Петербург, пр. Рижский, д. 43, лит. А","59.9138,30.2722",Адмиралтейский,Абдурахманов Владимир Леонидович,251-68-39,251-01-30,
167,"СПб ГБУЗ ""Кожно-венерологический диспансер №4""",Кожно - венерологические диспансеры,"197227,Санкт-Петербург, пр. Сизова, д. 3","59.9839,30.2499",Приморский,Теличко Игорь Николаевич,432-74-02,432-74-02,
168,"СПб ГБУЗ ""Кожно-венерологический диспансер №5""",Кожно - венерологические диспансеры,"197136, Санкт-Петербург, ул. Лахтинская, д. 32","59.964,30.2966",Петроградский,Науменко Марина Александровна,237-09-27,237-09-27,
169,"СПб ГБУЗ ""Кожно-венерологический диспансер №6""",Кожно - венерологические диспансеры,"198264, Санкт-Петербург, ул. Летчика Пилютова, д. 41","59.8265,30.1393",Красносельский,Соколовская Анна Владимировна,744-27-83,744-27-83,
170,"СПб ГБУЗ ""Кожно-венерологический диспансер №7""",Кожно - венерологические диспансеры,"198260, Санкт-Петербург, ул. Стойкости, д. 23","59.8277,30.2072",Кировский,Лобзев Николай Васильевич,750-15-66,750-15-66,
171,"СПб ГБУЗ ""Кожно-венерологический диспансер №8""",Кожно - венерологические диспансеры,"195112, Санкт-Петербург, пр. Новочеркасский, д. 29/10","59.9341,30.4059",Красногвардейский,Касаткин Евгений Владимирович,528-63-48,528-63-48,
172,"СПб ГБУЗ ""Кожно-венерологический диспансер №9""",Кожно - венерологические диспансеры,"195256, Санкт-Петербург, ул. Софьи Ковалевской, д. 10, корп.1","60.0137,30.4091",Калининский,Стрельникова Ирина Александровна,535-78-73,535-78-73,
173,"СПб ГБУЗ ""Кожно-венерологический диспансер Невского района""",Кожно - венерологические диспансеры,"192148, Санкт-Петербург, пр. Железнодорожный, 28, литер А","59.8819,30.423",Невский,Гнатюк Ирина Ивановна,560-77-03,560-77-03,
174,"СПб ГБУЗ ""Консультативно-диагностическая поликлиника №1 Приморского района""",Медицинские диагностические центры,"197183, Санкт-Петербург, пр. Приморский, д. 3","59.9844,30.2979",Приморский,Бидерман Геннадий Феликсович,923-77-25,923-77-25,
175,"СПб ГБУЗ ""Консультативно-диагностический центр №85""",Медицинские диагностические центры,"198260, Санкт-Петербург, пр.Ветеранов, д.89, корп.3, литер А","59.8371,30.2136",Кировский,Рулёв Сергей Николаевич,755-30-39,368-92-73,
176,"СПб ГБУЗ ""Консультативно-диагностический центр для детей""",Консультативно - диагностические центры для детей,"192289, Санкт-Петербург, ул. О. Дундича, д.36, корп.2","59.8352,30.4246",Фрунзенский,Соснина Ирина Брониславовна,417-23-05,417-23-05,
177,"СПб ГБУЗ ""Медицинский информационно-аналитический центр""",Учреждения здравоохранения особого типа,"198095, Санкт-Петербург, ул. Шкапина, д. 30, литера А","59.9055,30.2928",Адмиралтейский,Язенок Аркадий Витальевич,576-22-22,576-22-23,
178,"СПб ГБУЗ ""Межрайонный врачебно-физкультурный диспансер №1""",Врачебно - физкультурные диспансеры,"197022, Санкт-Петербург, пр. Каменноостровский, д. 48","59.9746,30.304",Петроградский,Матвеев Сергей Владимирович,500-05-25,500-05-25,
179,"СПб ГБУЗ ""Межрайонный Петроградско-Приморский противотуберкулезный диспансер №3""",Противотуберкулезные диспансеры,"197343, Санкт-Петербург,ул. Студенческая, д.16, лит.А","59.9924,30.3274",Приморский,Гуткин Михаил Григорьевич,242-37-74,242-37-74,
180,"СПб ГБУЗ ""Николаевская больница""",Городские больницы (включая клинические),"198510, Санкт-Петербург, г. Петродворец, ул. Константиновская, д. 1","59.8773,29.9176",Петродворцовый,Решетник Дмитрий Александрович,409-75-00,450-66-30,
181,"СПб ГБУЗ ""Онкологический диспансер Московского района""",Онкологические диспансеры,"196247, Санкт-Петербург, пр. Новоизмайловский, д.77","59.8566,30.301",Московский,Харитонов Михаил Владимирович,241-29-39,374-12-16,
182,"СПб ГБУЗ ""Поликлиника стоматологическая №16""",Cтоматологические поликлиники (для взрослых),"190005, Санкт-Петербург, ул. 4-я Красноармейская, д.19, 190031, Санкт-Петербург, пер. Спасский, д.10","59.914,30.311",Адмиралтейский,Поленс Александр Анатольевич,316-26-08,316-11-14,
183,"СПб ГБУЗ ""Противотуберкулезный диспансер №11""",Противотуберкулезные диспансеры,"194214, Санкт-Петербург, пр. Мориса Тореза, д.93 литер Б","60.0266,30.3241",Выборгский,Щедрина Светлана Валентиновна,553-16-60,554-44-37,
184,"СПб ГБУЗ ""Противотуберкулезный диспансер №12""",Противотуберкулезные диспансеры,"190103, Санкт-Петербург, наб. Реки Фонтанки, д.152-А","59.915,30.2841",Адмиралтейский,Азовцев Денис Юрьевич,251-73-71,251-73-71,
185,"СПб ГБУЗ ""Противотуберкулезный диспансер №14""",Противотуберкулезные диспансеры,"192012, Санкт-Петербург, пр. Обуховской обороны, 231","59.8642,30.4711",Невский,Богородский Дмитрий Юрьевич,362-33-18,362-33-18,
186,"СПб ГБУЗ ""Противотуберкулезный диспансер №15""",Противотуберкулезные диспансеры,"198264, Санкт-Петербург, ул. Летчика Пилютова, д. 41","59.8265,30.1393",Красносельский,Молодых Зоя Александровна,744-26-65,744-26-65,
187,"СПб ГБУЗ ""Противотуберкулезный диспансер №16""",Противотуберкулезные диспансеры,"198099, Санкт-Петербург, ул. Оборонная, д. 33","59.8939,30.2594",Кировский,Синицын Александр Валерьевич,786-20-10,786-20-10,
188,"СПб ГБУЗ ""Противотуберкулезный диспансер №2""",Противотуберкулезные диспансеры,"196026, Санкт-Петербург, ул. Детская, д. 14","59.9286,30.2502",Василеостровский,Зайцев Андрей Викторович,322-29-02,322-29-02,
189,"СПб ГБУЗ ""Противотуберкулезный диспансер №4""",Противотуберкулезные диспансеры,"196653, г.Колпино, пр. Ленина, д. 1/5 литер А","59.7492,30.5957",Колпинский,Смирнова Светлана Александровна,461-72-18,461-72-18,
190,"СПб ГБУЗ ""Противотуберкулезный диспансер №5""",Противотуберкулезные диспансеры,"195067, Санкт-Петербург, ул. Бестужевская, д. 48","59.9589,30.4004",Калининский,Божков Игорь Александрович,409-84-56,225-07-34,
191,"СПб ГБУЗ ""Противотуберкулезный диспансер №8""",Противотуберкулезные диспансеры,"191144, Санкт-Петербург, ул. 8-я Советская, д. 53","59.9337,30.3814",Центральный,Григорьева Галина Владимировна,271-46-20,271-46-20,
192,"СПб ГБУЗ ""Психиатрическая больница №1 им.П.П.Кащенко""",Психиатрические и психоневрологические больницы,"188357, Ленинградская обл., Гатчинский район, село Никольское, ул. Меньковская, д. 10",,Ленинградская область,Лиманкин Олег Васильевич,8-813-715-61-44,8-813-715-61-80,
193,"СПб ГБУЗ ""Психоневрологический диспансер №1""",Психоневрологические диспансеры,"199178, Санкт-Петербург, линия 12-я В.О., д. 39","59.9468,30.2641",Василеостровский,Дутов Владимир Борисович,328-81-25,328-81-25,
194,"СПб ГБУЗ ""Психоневрологический диспансер №2""",Психоневрологические диспансеры,"197341, Санкт-Петербург, Фермское шоссе, д. 34","60.0201,30.3096",Приморский,Беженар Сергей Иванович,302-11-01,302-11-01,
195,"СПб ГБУЗ ""Психоневрологический диспансер №3""",Психоневрологические диспансеры,"197198, Санкт-Петербург, пер. Татарский, д. 16","59.9537,30.3023",Петроградский,Грицевская Тамара Михайловна,232-57-01,233-33-27,
196,"СПб ГБУЗ ""Психоневрологический диспансер №5""",Психоневрологические диспансеры,"195176, Санкт-Петербург, ш. Революции, д. 17","59.9593,30.4212",Красногвардейский,Серазетдинова Лариса Григорьевна,227-67-55,227-67-55,
197,"СПб ГБУЗ ""Психоневрологический диспансер №6""",Психоневрологические диспансеры,"196651, Санкт-Петербург, г. Колпино, пр. Ленина, д. 1/5","59.7492,30.5957",Колпинский,Григорьева Елена Викторовна,246-47-83,246-47-83,
198,"СПб ГБУЗ ""Психоневрологический диспансер №8""",Психоневрологические диспансеры,"196211, Санкт-Петербург, пр. Юрия Гагарина, д. 18, корп. 3","59.8596,30.3406",Московский,Луговская Любовь Владимировна,241-34-01,378-60-96,
199,"СПб ГБУЗ ""Психоневрологический диспансер №9 Невского района""",Психоневрологические диспансеры,"192131, Санкт-Петербург, ул. Ивановская, д.18","59.8733,30.4406",Невский,Демурчева Вероника Семеновна,560-35-48,560-37-81,
200,"СПб ГБУЗ ""Психоневрологический диспансер Фрунзенского района""",Психоневрологические диспансеры,"190013, Санкт-Петербург, пер. Подъездной, д. 21","59.9149,30.3358",Адмиралтейский,Кустов Василий Дмитриевич,241-37-01,315-51-59,
201,"СПб ГБУЗ ""Пушкинский противотуберкулезный диспансер""",Противотуберкулезные диспансеры,"196602, г.Пушкин, ш. Павловское, д.14","59.7082,30.4178",Пушкинский,Гусев Александр Олегович,465-35-94,465-35-94,
202,"СПб ГБУЗ ""Родильный дом №1 (специализированный)""",Родильные дома,"199178, Санкт-Петербург, пр. Большой В.О., д. 49/51","59.9369,30.2731",Василеостровский,Ильин Алексей Борисович,321-42-80,321-42-88,
203,"СПб ГБУЗ ""Родильный дом №10""",Родильные дома,"198259, Санкт-Петербург, ул. Тамбасова, д. 21","59.831,30.1547",Красносельский,Иванова Лада Анатольевна,730-30-20,730-30-20,
204,"СПб ГБУЗ ""Родильный дом №13""",Родильные дома,"191124, Санкт-Петербург, ул.Костромская, д.4","59.9422,30.3896",Центральный,Фредерикс Елена Вадимовна,271-16-74,271-16-74,
205,"СПб ГБУЗ ""Родильный дом №16""",Родильные дома,"192283, Санкт-Петербург, ул. Малая Балканская, д. 54","59.8288,30.4193",Фрунзенский,Шапкайц Владимир Александрович,778-91-71,778-91-71,
206,"СПб ГБУЗ ""Родильный дом №17""",Родильные дома,"192174, Санкт-Петербург, ул. Леснозаводская, д. 4, корп.1","59.8684,30.4562",Невский,Михайлов Антон Валерьевич,777-48-77,777-48-77,
207,"СПб ГБУЗ ""Родильный дом №6 им. Проф. В.Ф. Снегирева""",Родильные дома,"191014, Санкт-Петербург, ул. Маяковского, д. 5","59.9348,30.3554",Центральный,Зайнулина Марина Сабировна,273-54-93,273-54-93,
208,"СПб ГБУЗ ""Родильный дом №9""",Родильные дома,"196158, Санкт-Петербург, ул. Орджоникидзе, д 47","59.8414,30.3527",Московский,Болотских Вячеслав Михайлович,726-44-55,726-44-55,
209,"СПб ГБУЗ ""Санкт-Петербургская городская дезинфекционная станция""",Дезинфекционная станция,"195009, Санкт-Петербург, Финский пер.д.4б, лит. А","59.9568,30.3536",Калининский,Шишкин Юрий Михайлович,246-21-21,246-21-21,
210,"СПб ГБУЗ ""Северо-Западный центр по контролю качества лекарственных средств""",Прочее,"198216 Санкт-Петербург, Ленинский пр., д.140","59.8524,30.2849",Кировский,Смирнова Ирина Геннадьевна,376-97-89,376-97-89,
211,"СПб ГБУЗ ""Станция скорой медицинской помощи №4""",Станции скорой медицинской помощи,"196601, Санкт-Петербург, г.Пушкин, ул. Глинки, д. 15","59.7145,30.4291",Пушкинский,Целиков Вячеслав Анатольевич,242-39-87,242-39-87,
212,"СПб ГБУЗ ""Станция скорой медицинской помощи Петродворцового района Санкт-Петербурга""",Станции скорой медицинской помощи,"198516, Санкт-Петербург, г.Петродворец, ул.Морского десанта, д. 12 литер А","59.8867,29.8925",Петродворцовый,Демчук Олег Васильевич,242-35-34,242-35-34,
213,"СПб ГБУЗ ""Станция скорой медицинской помощи""",Станции скорой медицинской помощи,"196653, Санкт-Петербург, г.Колпино, ул. Вавилова, д. 5, лит.А","59.7457,30.588",Колпинский,Раков Сергей Валерьевич,242-32-38,,
214,"СПб ГБУЗ ""Стоматологическая поликлиника №10""",Cтоматологические поликлиники (для взрослых),"198097, Санкт-Петербург, пер. Огородный, 4, корп 2","59.8874,30.2714",Кировский,Рунге Роберт Иоганович,786-58-06,252-66-01,
215,"СПб ГБУЗ ""Стоматологическая поликлиника №11""",Cтоматологические поликлиники (для взрослых),"198216, Санкт-Петербург, пр.Ленинский, д.138/5","59.8522,30.2782",Кировский,Черемисова Елена Викторовна,377-38-12,377-38-12,
216,"СПб ГБУЗ ""Стоматологическая поликлиника №12""",Cтоматологические поликлиники (для взрослых),"196084, Санкт-Петербург, пр. Московский, д. 122, литер В","59.8897,30.3202",Московский,Варблас Анна Романовна,576-03-43,576-03-43,
217,"СПб ГБУЗ ""Стоматологическая поликлиника №13""",Cтоматологические поликлиники (для взрослых),"192029, Санкт-Петербург, пр. Обуховской обороны, 123, литер А","59.8917,30.4394",Невский,Гудец Елена Юрьевна,246-32-64,246-32-64,
218,"СПб ГБУЗ ""Стоматологическая поликлиника №15""",Cтоматологические поликлиники (для взрослых),"192238, Санкт-Петербург, ул. Пражская, д. 19, к. 1, лит. А","59.8724,30.3893",Фрунзенский,Ильин Филипп Юрьевич,764-68-01,764-68-01,
219,"СПб ГБУЗ ""Стоматологическая поликлиника №17""",Cтоматологические поликлиники (для взрослых),"197101, Санкт-Петербург, ул. Рентгена, д. 9","59.964,30.3222",Петроградский,Ерохина Надежда Ивановна,241-22-13,241-22-13,
220,"СПб ГБУЗ ""Стоматологическая поликлиника №18""",Cтоматологические поликлиники (для взрослых),"196653, г.Колпино, ул.Веры Слуцкой, д.9, литер А","59.749,30.5834",Колпинский,Алескеров Джавад Шахинович,461-77-22,461-77-22,
221,"СПб ГБУЗ ""Стоматологическая поликлиника №19"" Пушкинского района",Cтоматологические поликлиники (для взрослых),"196607 г.Пушкин, ул Школьная, д.33","59.7836,30.1441",Пушкинский,Березкина Ирина Викторовна,417-33-99,417-33-99,
222,"СПб ГБУЗ ""Стоматологическая поликлиника №20""",Cтоматологические поликлиники (для взрослых),"198302, Санкт-Петербург, ул. Маршала Казакова, д.14, корп.3","59.8577,30.2372",Кировский,Голинский Юрий Георгиевич,757-44-66,757-44-66,
223,"СПб ГБУЗ ""Стоматологическая поликлиника №28 Красносельского района""",Cтоматологические поликлиники (для взрослых),"198206, Санкт-Петербург, ул.Пограничника Гарькавого, д.14, литер А","59.8412,30.148",Красносельский,Соловьев Владислав Викторович,744-59-13,744-59-13,
224,"СПб ГБУЗ ""Стоматологическая поликлиника №29""",Cтоматологические поликлиники (для взрослых),"192284, Санкт-Петербург, ул. Будапештская, д. 69, корп.1, лит.А","59.8464,30.3873",Фрунзенский,Окунев Михаил Александрович,772-67-93,772-66-67,
225,"СПб ГБУЗ ""Стоматологическая поликлиника №30""",Cтоматологические поликлиники (для взрослых),"195273, Санкт-Петербург, пр. Науки, д. 46","60.0061,30.4295",Калининский,Хомякова Эрна Евгеньевна,409-76-12,409-76-12,
226,"СПб ГБУЗ ""Стоматологическая поликлиника №31 Невского района""",Cтоматологические поликлиники (для взрослых),"193312, Санкт-Петербург, пр.Солидарности, д.12, корп.1","59.9207,30.4928",Невский,Червонная Валерия Геннадьевна,588-90-70,588-90-70,
227,"СПб ГБУЗ ""Стоматологическая поликлиника №32""",Cтоматологические поликлиники (для взрослых),"195426, Санкт-Петербург, пр. Наставников, д. 22, литер А","59.9445,30.4892",Красногвардейский,Попов Станислав Евгеньевич,521-65-00,521-65-01,
228,"СПб ГБУЗ ""Стоматологическая поликлиника №4""",Cтоматологические поликлиники (для взрослых),"194044, Санкт-Петербург, Беловодский пер., д. 1, лит. Л","59.9731,30.3391",Выборгский,Климов Андрей Геннадьевич,331-64-34,331-64-34,
229,"СПб ГБУЗ ""Стоматологическая поликлиника №6""",Cтоматологические поликлиники (для взрослых),"197198, Санкт-Петербург, ул.Ижорская, д.5, лит.А","59.9588,30.2987",Петроградский,Кыткина Татьяна Дмитриевна,232-32-01,232-32-01,
230,"СПб ГБУЗ ""Стоматологическая поликлиника №8""",Cтоматологические поликлиники (для взрослых),"195027, Санкт-Петербург, пр. Большеохтинский, д. 27","59.9542,30.4109",Красногвардейский,Старкова Софья Юрьевна,227-15-11,227-15-11,
231,"СПб ГБУЗ ""Стоматологическая поликлиника №9""",Cтоматологические поликлиники (для взрослых),"191028, Санкт-Петербург, ул.Чайковского, д.27 литер А","59.9463,30.3509",Центральный,Рубежов Александр Леонидович,273-02-88,273-14-31,
232,"СПб ГБУЗ ""Туберкулезная больница №8""",Туберкулезные больницы для взрослых,"196620, Санкт-Петербург, г. Павловск, ул. Мичурина, д. 34","59.6772,30.4284",Пушкинский,Кузнецова Любовь Николаевна,241-30-40,241-30-50,
233,"СПб ГБУЗ ""Центр планирования семьи и репродукции""",Прочие больничные учреждения,"195009, Санкт-Петербург, ул. Комсомола, д. 4","59.9551,30.3687",Калининский,Балдин Александр Владимирович,246-24-88,246-24-88,
234,"СПб ГБУЗ ""Центр СПИД и инфекционных заболеваний""",Прочие больничные учреждения,"198103, Санкт-Петербург, наб. Обводного канала, д. 179","59.9095,30.2949",Адмиралтейский,Виноградова Татьяна Николаевна,251-08-53,,
