Район,Наименование учреждения,Сокращенное наименование,Адрес,Ближайшая станция метро,Руководитель,Телефон,Факс,Электронная почта,Муниципальное образование,ИНН,ОГРН,Примечание
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 8),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 8,"195197, Санкт-Петербург, ул. Васенко, д. 6","Площадь Ленина, Выборгская",Крылова Светлана Ильинична,540-60-41,,vos-cbskalinfil@yandex.ru,Финляндский,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 9),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 9,"195267, Санкт-Петербург, Гражданский проспект, д. 104, корп. 1",Гражданский проспект Академическая,Крылова Светлана Ильинична,531-77-49,,fili09@yandex.ru,№ 21,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 10),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 10,"195221, Санкт-Петербург, Пискарёвский проспект, д. 16","Площадь Мужества, Выборгская, Площадь Ленина",Крылова Светлана Ильинична,540-11-25,,des-cbskalinfil@yandex.ru,Финляндский,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 11),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 11,"195269, Санкт-Петербург, Светлановский проспект, д. 62, корп. 1","Гражданский проспект, Академическая,  Девяткино",Крылова Светлана Ильинична,242-36-60,242-36-60,filial11kalin@yandex.ru,Прометей,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 12),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 12,"195276, Санкт-Петербург, проспект Культуры, д. 21, корп. 1","Проспект Просвещения, Гражданский проспект",Крылова Светлана Ильинична,557-67-44,557-67-44,kultura21bibl@yandex.ru,Северный,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 13),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 13,"195220, Санкт-Петербург, проспект Непокорённых, дом 16, корпус 1, литера Ж","Площадь Мужества, Академическая, Политехническая",Крылова Светлана Ильинична,535-70-42,,galbordan@yandex.ru,Гражданка,7804030181,1027802518358,
Калининский,Санкт-Петербургское государственное бюджетное учреждение культуры «Централизованная библиотечная система Калининского района» (Библиотека - филиал № 14),СПб ГБУК «ЦБС Калининского района» Библиотека-филиал № 14,"195273, Санкт-Петербург, проспект Науки, д. 44",Академическая,Крылова Светлана Ильинична,242-36-51,242-36-51,Nauki44@list.ru,Пискаревка,7804030181,1027802518358,Закрыта на капитальный ремонт
Калининский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Музей истории подводных сил России имени А.И. Маринеско""","СПб ГБУК ""МИПСР им. Маринеско""","195271, Санкт-Петербург, Кондратьевский проспект, д. 83, корп. 1","Площадь Ленина, Лесная, Площадь Мужества, Академическая",Юрченко Михаил Вячеславович,246-49-87,246-49-88,mipsrm@list.ru,Финляндский,7804068467,1027802521339,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Кировского района""","СПб ГБУ ""ЦБС Кировского района""","г.Санкт-Петербург, улица Лёни Голикова, дом 31, литера А",Проспект Ветеранов,Директор Ястребова Елена Юрьевна,(812) 752-18-49,(812) 752-97-19,Kircbs@mail.ru,МО Дачное,7805041690,1037811014922,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Центр культуры и досуга ""Кировец""","СПб ГБУ ""Центр культуры и досуга ""Кировец""","198207, г. Санкт-Петербург, проспект Стачек, д. 158",Ленинский проспект,Директор Гайдук Диана Михайловна,(812) 758-44-88,(812) 758-36-88,Dk-kirovec@mail.ru,МО Дачное,7805010036,1037811014548,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Музей ""Нарвская застава""","СПб ГБУ ""Музей ""Нарвская застава""","198092, г. Санкт-Петербург, улица Ивана Черных д. 23",Нарвская,Директор Дементьева Нина Александровна,(812) 252-13-41,(812) 300-83-29,Narvskayazastava@mail.ru,МО Нарвский округ,7805039099,1037811040354,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Музей ""Анна Ахматова. Серебряный век""","СПб ГБУ ""Музей ""Анна Ахматова. Серебряный век""","198152, г. Санкт-Петербург, улица Автовская д. 14",Автово,Директор Биличенко Валентина Андреевна,(812) 785-04-42,(812) 785-04-42,Mus_akhmatova@mail.ru,МО Автово,7805003350,1037811047340,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Камерный драматический театр ""Левендаль""","СПб ГБУ ""Камерный драматический театр ""Левендаль""","198302, г. Санкт-Петербург, улица Маршала Казакова д. 1, корп. 1, Литера Г",Автово,Художественный руководитель Сакаев Искандер Рауфович,(812) 753-76-32,(812) 753-76-25,Levendal@mail.ru,МО Красненькая речка,7805728564,1187847161424,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Театр кукол ""Бродячая собачка""","СПб ГБУ ""Театр кукол ""Бродячая собачка""","198096, г. Санкт-Петербург, проспект Стачек д. 59",Автово,Художественный руководитель Абдулина Алла Сергеевна,(812) 783-43-27,(812) 494-96-03,Brodyachka@mail.ru,МО Автово,7805039035,1207802735058,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Театр детского балета""","СПб ГБУ ""Театр детского балета""","198092, г. Санкт-Петербург, улица Новостроек д. 25",Кировский завод,Директор Никифоров Анатолий Сергеевич,(812) 784-62-03,(812) 784-62-03,Children-ballet@yandex.ru,МО Автово,7805008950,1027802728287,
Кировский,"Санкт-Петербургское государственное бюджетное учреждение ""Детский драматический ""Театр у Нарвских ворот""","СПб ГБУ ""Детский драматический ""Театр у Нарвских ворот""","198020, г. Санкт-Петербург, улица Зои Космодемьянской д. 3",Нарвская,Художественный руководитель Лутц Валентина Михайловна,(812) 786-50-31,(812) 786-51-48,Teatr_lutz@mail.ru,МО Нарвский округ,7805026935,1037811007827,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Ижорский""","СПб ГБУ ""КДЦ ""Ижорский""","Санкт-Петербург, город Колпино, Советский бульвар, дом 29, литера А","Купчино, Звездная, Рыбацкое",Бурова Вера Алексеевна,+7 (812) 4614430,+7 (812) 4614430,Kdcizhorskiy@yandex.ru,ВМО СПб г.Колпино,7817037804,1027808755457,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Подвиг""","СПб ГБУ ""КДЦ ""Подвиг""","Санкт-Петербург, грод Колпино, улица Павловская, дом 34, литера А","Купчино, Звездная, Рыбацкое",Назимова Анна Юрьевна,"469 50 77, 676 50 95",469 50 77,Kdc-podvig@mail.ru,ВМО СПб г.Колпино,7817004380,1027808755479,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Подвиг"" -филиал","СПб ГБУ ""КДЦ ""Подвиг""","Санкт-Петербург, город Колпино,улица Братьев Радченко, дом 21","Купчино, Звездная, Рыбацкое",Назимова Анна Юрьевна,"469 50 77, 676 50 95",469 50 77,Kdc-podvig@mail.ru,ВМО СПб г.Колпино,7817004380,1027808755479,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская художественная школа № 3""","СПб ГБУ ДО ""ДХШ №3""","Санкт-Петербург, город Колпино, улица Красная, дом 4/1, литера А","Купчино, Звездная, Рыбацкое",Юхневич Елена Александровна,+7 (812) 4692114,+7 (812) 4692114,Spb.dhsh3@mail.ru,ВМО СПб г.Колпино,7817034610,1027808762354,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств имени Петра Ильича Чайковского""","СПб ГБУ ДО ""ДШИ им. П.И.Чайковского""","Санкт-Петербург, город Колпино, улица Культуры, д.1/10, литера А","Купчино, Звездная, Рыбацкое",Кассина Лариса Дмитриевна,+7 (812) 4610150,+7 (812) 4610150,Shkola-iskustv@yandex.ru,ВМО СПб г.Колпино,7817029225,1027808758493,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Дворец культуры ""Нева""","СПб ГБУ ""ДК ""НЕВА""","Санкт-Петербург, посёлок Понтонный, улица Александра Товпеко, дом 14, литера А",Рыбацкое,Каменева Яна Тельмановна,+7 (812) 4626535,+7 (812) 4624793,Dkneva@mail.ru,ВМО СПб пос. Понтонный,7817027073,1027808753312,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Дворец культуры ""Нева"" - филиал Дом культуры ""Саперный""","СПб ГБУ ""ДК ""НЕВА"" - ДК ""Саперный""","Санкт-Петербург, посёлок Сапёрный, Дорожная улица, дом 11, литера А",Рыбацкое,Каменева Яна Тельмановна,+7 (812) 4626535,+7 (812) 4624793,Dkneva@mail.ru,ВМО СПб пос. Саперный,7817027073,1027808753312,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Дворец культуры ""Нева"" - филиал Дом культуры ""Славянка""","СПб ГБУ ""ДК ""НЕВА"" - ДК ""Славянка""","Санкт-Петербург, посёлок Петро-Славянка, улица Труда, дом 1, литера А",Рыбацкое,Каменева Яна Тельмановна,+7 (812) 4626535,+7 (812) 4624793,Dkneva@mail.ru,ВМО СПб пос. Петро-Славянка,7817027073,1027808753312,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств им. М.А.Балакирева""","СПб ГБУ ДО ""ДШИ им. М.А.Балакирева""","Санкт-Петербург, посёлок Металлострой, улица М.Горького, дом 5/10, литера А",Рыбацкое,Касаткина Елена Юрьевна,4646886,4646886,Dsi11-spb@yandex.ru,ВМО СПб пос. Металлострой,7817034553,1027808756161,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств им. М.А.Балакирева"" -филиал","СПб ГБУ ДО ""ДШИ им. М.А.Балакирева""","Санкт-Петербург, посёлок Металлострой, улица Железнодорожная, д. 23",Рыбацкое,Касаткина Елена Юрьевна,4646886,464 68 86,Dsi11-spb@yandex.ru,ВМО СПб пос. Металлострой,7817034553,1027808756161,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Дом культуры им. В.В.Маяковского""","СПб ГБУ ""ДК им. В.В.Маяковского""","Санкт-Петербург, посёлок Металлострой, улица Центральная, дом 12",Рыбацкое,Рудаков Руслан Александрович,+7 (812) 4644849,+7 (812) 4645227,Dkmetal@mail.ru,ВМО СПб пос. Металлострой,7817033101,1027808756854,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Центральная районная библиотека имени М.Светлова","СПб ГБУ ""ЦБС Колпинского района"" ЦРБ им. М.Светлова","Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 32, литера А","Купчино, Звездная, Рыбацкое",Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб г.Колпино,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Детская районная библиотека","СПб ГБУ ""ЦБС Колпинского района"" ДРБ","Санкт-Петербург, город Колпино, улица Веры Слуцкой, дом 50, литера А","Купчино, Звездная, Рыбацкое",Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб г.Колпино,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №1","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №1","Санкт-Петербург, город Колпино, набережная Комсомольского канала, дом 18","Купчино, Звездная, Рыбацкое",Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб г.Колпино,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №2","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №2","Санкт-Петербург, город Колпино, улица Загородная, дом 55",Рыбацкое,Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб г.Колпино,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №3","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №3","Санкт-Петербург, посёлок Сапёрный, улица Дорожная, дом 11",Рыбацкое,Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб пос. Саперный,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №4","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №4","Санкт-Петербург, посёлок Понтонный, улица Южная, дом 13",Рыбацкое,Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб поселок Понтонный,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №5","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №5","Санкт-Петербург, посёлок Металлострой, Центральная улица, дом 14",Рыбацкое,Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб поселок Металлострой,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга"" Библиотека-филиал №6","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №6","Санкт-Петербург, город Колпино, улица Тверская, дом 36, корп 3","Купчино, Звездная, Рыбацкое",Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб г.Колпино,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Централизованная библиотечная система Колпинского района Санкт-Петербурга""библиотека - филиал №7","СПб ГБУ ""ЦБС Колпинского района"" Библиотека-филиал №7","Санкт-Петербург, посёлок Понтонный, улица Александра Товпеко, дом 14, литера А",Рыбацкое,Хороших Анна Юрьевна,+7 (812) 4693632,+7 (812) 4693632,Bibsvet06@yandex.ru,ВМО СПб поселок Понтонный,7817016593,1027808760660,
Колпинский,"Санкт-Петербургское государственное бюджетное учреждение ""Парк культуры и отдыха г.Колпино""","СПб ГБУ ""ПКиО г.Колпино""","Санкт-Петербург, город Колпино, улица Стахановская, дом 15, корпус 1, литера А, помещение 5-Н","Купчино, Звездная, Рыбацкое",Куслин Игорь Иванович,+7 (812) 2421913,+7 (812) 2421908,Pko.kolpino@mail.ru,ВМО СПб г.Колпино,7817010489,1027808761452,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (библиотека им. Н.В. Гоголя)",ЦБС Красногвадейского района,"Санкт-Петербург, Среднеохтинский проспект 8, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)2243300,+7(812)2243300,info@kr-cbs.ru,Большая Охта,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"", фонды редкой книги, репозитарного хранения и обязательного экземпляра",ЦБС Красногвадейского района,"Санкт-Петербург, Стахановцев улица 4А",Новочеркасская,Швец Марина Борисовна,+7(812)5281703,+7(812)5281703,info@kr-cbs.ru,Малая Охта,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (библиотека ""Малоохтинская"")",ЦБС Красногвадейского района,"Санкт-Петербург, Новочеркасский проспект 49/20, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)4447082,+7(812)4447082,info@kr-cbs.ru,Малая Охта,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (Детская библиотека ""ГОРОД"")",ЦБС Красногвадейского района,"Санкт-Петербург, Индустриальный проспект 35, корпус 1, литера А",Ладожская,Швец Марина Борисовна,+7(812)5273271,+7(812)5273271,info@kr-cbs.ru,Пороховые,7806115232,1027804196694,взрослая библиотека
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (библиотека ""Ржевская"")",ЦБС Красногвадейского района,"Санкт-Петербург, Индустриальный проспект 35, корпус 1, литера А",Ладожская,Швец Марина Борисовна,+7(812)5273274,+7(812)5273274,info@kr-cbs.ru,Пороховые,7806115232,1027804196694,детская библиотека
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (БЦО ""Современник"")",ЦБС Красногвадейского района,"Санкт-Петербург, Заневский проспект 28-30-32, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)5284600,+7(812)5284600,info@kr-cbs.ru,Малая Охта,7806115232,1027804196694,взрослая библиотека
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (БЦО ""Современник-Книжный квартал"")",ЦБС Красногвадейского района,"Санкт-Петербург, Заневский проспект 28-30-32, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)4449250,+7(812)4449250,info@kr-cbs.ru,Малая Охта,7806115232,1027804196694,детская библиотека
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (библиотека ""Охтинская"")",ЦБС Красногвадейского района,"Санкт-Петербург, Энергетиков проспект 30, корпус 5, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)2271914,+7(812)2271914,info@kr-cbs.ru,Большая Охта,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (библиотека ""Пороховская"")",ЦБС Красногвадейского района,"Санкт-Петербург, улица Лазо 8, корпус 1, литера А",Ладожская,Швец Марина Борисовна,+7(812)5275193,+7(812)5275193,info@kr-cbs.ru,Ржевка,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"", Центральная детская библиотека",ЦБС Красногвадейского района,"Санкт-Петербург, Индустриальный проспект 15, литера А",Ладожская,Швец Марина Борисовна,+7(812)5240847,+7(812)5240847,info@kr-cbs.ru,Пороховые,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"", Детская библиотека № 1",ЦБС Красногвадейского района,"Санкт-Петербург, Косыгина проспект 28, корпус 1, литера А",Ладожская,Швец Марина Борисовна,+7(812)5218546,+7(812)5218546,info@kr-cbs.ru,Ржевка,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"" (Детская библиотека № 4)",ЦБС Красногвадейского района,"Санкт-Петербург, улица Большая Пороховская 12/34, литера А",Новочеркасская,Швец Марина Борисовна,+7(812)2240944,+7(812)2240944,info@kr-cbs.ru,Большая Охта,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района"", (библиотека и арт-резиденция ""ШКАФ"")",ЦБС Красногвадейского района,"Санкт-Петербург, улица Маршала Тухачевского 31, литера Б",Новочеркасская,Швец Марина Борисовна,+7(812)2268780,+7(812)2268780,info@kr-cbs.ru,Полюстрово,7806115232,1027804196694,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красногвардейского района""(библиотека ""КУБ"")",ЦБС Красногвадейского района,"Санкт-Петербург, проспект Маршака 24, корпус 1, строение 1",Девяткино,Швец Марина Борисовна,+7(812)6166245,+7(812)2268780,info@kr-cbs.ru,Полюстрово,7806115232,1027804196694,универсальная библиотека
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Красногвардейский"" (основной объект)","КДЦ ""Красногвардейский""","Санкт-Петербург, Шаумяна проспект 22, литера А",Новочеркасская,Алексеева Елена Владимировна,+7(812)3466020,+7(812)3466020,spb-krasnogvard@mail.ru,Малая Охта,7806440754,1107847327873,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Красногвардейский"" (филиал ""Малоохтинский"")","КДЦ ""Красногвардейский""","Санкт-Петербург, Малоохтинский проспект 86, литера А",Новочеркасская,Алексеева Елена Владимировна,+7(812)3466020,+7(812)3466020,spb-krasnogvard@mail.ru,Малая Охта,7806440754,1107847327873,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Красногвардейский"" (филиал ""Полюстровский"")","КДЦ ""Красногвардейский""","Санкт-Петербург, Энергетиков проспект 50, литера А",Новочеркасская,Алексеева Елена Владимировна,+7(812)3466020,+7(812)3466020,spb-krasnogvard@mail.ru,Полюстрово,7806440754,1107847327873,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый центр ""Красногвардейский"" (филиал ""Новоохтинский"")","КДЦ ""Красногвардейский""","Санкт-Петербург, проспект Маршака 24, корпус 1, строение 1",Девяткино,Алексеева Елена Владимировна,+7(812)3466020,+7(812)3466020,spb-krasnogvard@mail.ru,Полюстрово,7806440754,1107847327873,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств ""Охтинский центр эстетического воспитания"" (основное здание)","СПб ГБУ ДО ""ДШИ ОЦЭВ""","Санкт-Петербург, улица Маршала Тухачевского 8, литера А",Площадь Ленина,Гринчак Галина Владимировна,7(812)4097150,7(812)4097150,goudodocv@yandex.ru,Полюстрово,7806042249,1037816003818,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств ""Охтинский центр эстетического воспитания""(эстрадно-джазовое отделение)","СПб ГБУ ДО ""ДШИ ОЦЭВ""","Санкт-Петербург, Наставников проспект 43, корпус 1, литера А",Ладожская,Гринчак Галина Владимировна,7(812)4097150,7(812)4097150,goudodocv@yandex.ru,Ржевка,7806042249,1037816003818,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств ""Охтинский центр эстетического воспитания"" (художественное отделение)","СПб ГБУ ДО ""ДШИ ОЦЭВ""","Санкт-Петербург, Новочеркасский проспект 32, корпус 3, литера А",Новочеркасская,Гринчак Галина Владимировна,7(812)4097150,7(812)4097150,goudodocv@yandex.ru,Малая Охта,7806042249,1037816003818,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств ""Охтинский центр эстетического воспитания""(хореографическое отделение)","СПб ГБУ ДО ""ДШИ ОЦЭВ""","Санкт-Петербург, улица Маршала Тухачевского 41, литера А",Новочеркасская,Гринчак Галина Владимировна,7(812)4097150,7(812)4097150,goudodocv@yandex.ru,Полюстрово,7806042249,1037816003818,
Красногвардейский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская музыкальная школа № 41""(детская музыкальная школа)","СПб ГБУ ДО ""ДМШ 41""","Санкт-Петербург, проспект Косыгина 28, корпус 1, литера А",Ладожская,Завирюха Татьяна Петровна,+7(812)5215225,+7(812)5215225,dmsh41@mail.ru,Ржевка,7806045137,1027804183362,
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение дополнительного образования ""Детская школа искусств"" Красносельского района","СПб ГБУ ДО ""ДШИ"" Красносельского района","198206, Санкт-Петербург, ул. 2-я Комсомольская, дом 7, корпус 2, Литер А",Проспект Ветеранов,Кугаевский Николай Андреевич,241-27-15,241-27-15,dshi-72@mail.ru,Сосновая Поляна,7807013346,1027804609766,
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый комплекс ""Красносельский""","СПб ГБУ ""КДК ""Красносельский""","198330, г. Санкт-Петербург, Петергофское шоссе, дом 3, корпус 2, литера А","Проспект Ветеранов, Ленинский проспект",Павлова Алла Александровна,750-23-34,745-79-34,"Kdk.spb@mail.ru, kinoteatr.estafeta@yandex.ru",МО Юго-Запад,7807357121,1109847047760,
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый комплекс ""Красносельский","СПб ГБУ ""КДК ""Красносельский""","198259, Санкт-Петербург, улица Пограничника Гарькавого, дом 36, корпус 1",Проспект Ветеранов,Павлова Алла Александровна,730-05-65,730-05-65,"kdk.spb@mail.ru, kinoteatr.estafeta@yandex.ru",МО Сосновая Поляна,7807357121,1109847047760,
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение ""Культурно-досуговый комплекс Красносельский","СПб ГБУ ""КДК ""Красносельский""","198320, Санкт-Петербург, Кингисеппское шоссе, дом 2, строение 1",Проспект Ветеранов,Павлова Алла Александровна,750-23-34,745-79-34,"Kdk.spb@mail.ru, kinoteatr.estafeta@yandex.ru",МО Сосновая Поляна,7807357121,1109847047760,
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система  Красносельского района""","СПб ГБУК ""ЦБС Красносельского района""","198264, Санкт-Петербург, проспект Ветеранов, дом 155",Проспект Ветеранов,Золотова Ирина Васильевна,744-14-04,744-14-04,zolotovaiv@yandex.ru,МО Сосновая Поляна,7807335752,1089847228833,Центральная районная библиотека (капитальный ремонт)
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красносельского района Радуга""","СПб ГБУК ""ЦБС Красносельского района""","198264, Санкт-Петербург, проспект Ветеранов, дом 155",Проспект Ветеранов,Золотова Ирина Васильевна,"744-14-04, 744-93-43",744-14-04,Zolotovaiv@yandex.ru,МО Сосновая Поляна,7807335752,1089847228833,"Центральная районная детская библиотека ""Радуга"" (капитальный ремонт)"
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система  Красносельского района"" №1","СПб ГБУК ""ЦБС Красносельского района""","198329, Санкт-Петербург, улица Чекистов, дом 26",Проспект Ветеранов,Золотова Ирина Васильевна,"744-14-04, 735-89-19",744-14-04,zolotovaiv@yandex.ru,МО Сосновая Поляна,7807335752,1089847228833,"Библиотека №1 ""Ивановка"
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система Красносельского района"" №2","СПб ГБУК ""ЦБС Красносельского района""","Санкт-Петербург, город Красное Село, улица Лермонтова, дом 26, литера А",Проспект Ветеранов,Золотова Ирина Васильевна,"744-14-04, 741-19-10",744-14-04,Zolotovaiv@yandex.ru,МО Красное Село,7807335752,1089847228833,Библиотека №2
Красносельский,"Санкт-Петербургское государственное бюджетное учреждение культуры ""Централизованная библиотечная система  Красносельского района"" №4","СПб ГБУК ""ЦБС Красносельского района""","г.Санкт-Петербург, Горелово, улица Коммунаров, дом 118, корпус 1, литера А",Проспект Ветеранов,Золотова Ирина Васильевна,"744-14-04, 421-01-39",744-14-04,zolotovaiv@yandex.ru,МО Горелово,7807335752,1089847228833,"Библиотека №4 ""Горелово"""
